,O_0,O_1,O_2,O_3,O_4,O_5,O_6,O_7,O_8,O_9,O_10,O_11,O_12,O_13,O_14,O_15,O_16,O_17,O_18,O_19,O_20,O_21,O_22,O_23,O_24,O_25,O_26,O_27,O_28,O_29,O_30,O_31,O_32,O_33,O_34,O_35,O_36,O_37,O_38,O_39,O_40,O_41,O_42,O_43,O_44,O_45,O_46,O_47,O_48,O_49,O_50,O_51,O_52,O_53,O_54,O_55,O_56,O_57,O_58,O_59,O_60,O_61,O_62,O_63,O_64,O_65,O_66,O_67,O_68,O_69,O_70,O_71,O_72,O_73,O_74,O_75,O_76,O_77,O_78,O_79,O_80,O_81,O_82,O_83,O_84,O_85,O_86,O_87,O_88,O_89,O_90,O_91,O_92,O_93
S_0,0.0,0.0,0.0,0.0,0.0,0.00045022503709683136,0.0,0.00045022503709683136,0.0,0.0,0.00045022503709683136,0.00045022503709683136,0.00045022503709683136,0.0004502233150364498,0.0,0.0013506751112904941,0.0010266308528891178,0.0,0.0004502287498259747,0.0004502242052488964,0.0013506751112904941,0.0013374066607280924,1.3222632872659015e-159,0.0,1.9750389488915918e-153,0.0023380861200284395,0.005126370858030779,0.0019827403977436685,0.0024834666059677826,0.003988815832283322,0.008403974160950869,0.00844798381523,0.013472648725081518,0.010516340298062386,0.009559814608715573,0.016544781400220372,0.01303760192857362,0.017933707960955732,0.020218337687754682,0.0236756876962034,0.031053490184011944,0.02196024141416124,0.026206241339171786,0.04629949863371587,0.026871934688485675,0.050162150013893514,0.06616423982184273,0.023532476579952305,0.0672116737598471,0.021046083908973928,0.06541265074046967,0.04661459070190332,0.009102865928351434,0.045535185791486056,0.03388424883064488,0.03256962419495472,0.0456166370266563,0.02258064890367695,0.027827986001500382,0.021992239058879596,0.017943087450805237,0.01598910515206487,0.008417967260104482,0.007698696017820881,0.009470816014461635,0.0019406462081075922,0.005889830755030743,0.0054300940550587205,0.0034594729599053448,0.0027346109817163486,0.0035965350891829285,0.0045022503709683135,0.0038023769784456705,0.002787143772915964,0.0015782821166667026,0.00045022503709683136,0.0004166439044152785,0.0,0.0,0.0,0.0009004500741936627,0.0008974856569919836,0.0,0.0013506751112904941,0.00045022503709683136,0.00045022503709683136,0.00045022503709683136,0.00045022503709683136,0.0,0.0,0.00045022503709683136,0.0,0.0,0.00045022503709683136
S_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002470522743218375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.860784951145311e-161,2.1019540050266607e-271,5.949801970341998e-110,0.0017068278771277291,1.1923524636214157e-28,0.003985122823118178,0.005253471638016937,0.02645000928629007,0.019136180266552012,0.026010858736172933,0.1719476665862548,0.13552390755478796,0.21500421471281667,0.1177647930260474,0.1573643586567072,0.0569301302577941,0.027528106836504144,0.03137528455024635,0.0011554547674606527,0.0016273195918527115,1.0320269840850602e-06,9.144423817647404e-21,2.1238790574644737e-119,4.177862835231855e-123,2.8123698287263487e-172,6.4496286513044935e-279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004941042859335433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002470521225052662,0.0,0.0,0.0,0.0,0.0,0.0002470521225052662,0.0,0.0,0.0
S_2,0.0,0.00044832353371664546,0.0,0.00044832353371664546,0.0,0.0,0.00044832353371664546,0.0,0.0008966470674332909,0.00044832353371664546,0.0,0.0,0.0,0.0008966487822187745,0.00044832353371664546,0.0,0.001219322740787894,0.0,0.00044831983666785325,0.0008966478957672381,0.0,0.00046153594562854276,0.0022416176685832274,0.0035865882697331637,0.0026899412022998725,0.000810053408140804,0.0011718093145847996,0.004888961353221687,0.0038173256770774816,0.00809181667243447,0.008542610785295208,0.0044122483356877126,0.0057763832614002655,0.011410944140673212,0.01924658583023009,0.011136527495132623,0.020491958279708764,0.026316369694475754,0.02022702958638962,0.021677741413260076,0.03467682481906186,0.030254043923734587,0.03601725026403663,0.04577246710955051,0.013826124397280449,0.04004261831410366,0.06870890618294945,0.023441997247280674,0.04381248240247899,0.017444346095013236,0.07791115304660695,0.05116769766904643,0.03374516605624782,0.043530302135240374,0.03191109144860501,0.02362826979501939,0.022719561429890893,0.01729089869324993,0.025245793030683843,0.016394114228579483,0.019416293709950138,0.013398019919635736,0.017633910908356372,0.015008663054181408,0.009556475213727905,0.007826172582527111,0.007400702827203768,0.004287146341356877,0.006418255696354334,0.004874776544782294,0.0022468606388226487,3.972314674151437e-71,0.0024902116464111685,0.0013838003646746483,0.0005647966355849727,0.0,0.00048176283813024327,0.0013876032299229178,0.0013449706011499363,0.0,0.0,0.0013479224982851693,0.00044832353371664546,0.0,0.0,0.0,0.0,0.0,0.00044832353371664546,0.0,0.0,0.00044832353371664546,0.00044832353371664546,0.0
S_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.646854638042303e-05,7.919469178055064e-05,0.0003342826302111386,0.00018622758869505371,0.0007675709551126444,0.00047715729564957267,0.000873508693264965,0.00238824296911945,0.0027990473522854433,0.005553891085841278,0.008899708676863564,0.012998982352108621,0.014513442231033272,0.022449276824615904,0.03333209518146651,0.027264169233898645,0.05945913676538157,0.02957883623724256,0.09043856379324665,0.09974791738660856,0.040139919483034726,0.103114400674357,0.03972515512398383,0.10405999373480884,0.08735397052807525,0.03182829950017044,0.0567190260440601,0.024641487602802974,0.030363438943051275,0.02159154804888285,0.013125040797498641,0.011708255770030191,0.007822620263245234,0.005293821540605916,0.003978096199884454,0.0019584473280881325,0.0015052529692582233,0.0006789054769163189,0.0013263228674144378,0.0003603616626073904,0.0001923377118833538,3.185000585342609e-77,9.878203715399868e-57,1.1966627279518193e-172,1.8948348304073695e-249,0.0,5.905892824079806e-05,0.00010087802814169856,0.0,0.0,7.39353388573352e-05,0.0,8.170494329428946e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.28183395270809e-242,0.0
S_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014781371216366824,0.00015706810322193077,0.00010098244903009955,0.0005125803794208007,0.0003136317817620894,0.001571629354107737,0.0017352505313554577,0.0038599728523563,0.00810772400400653,0.01079630870708194,0.02212444228364783,0.04634269355718319,0.031850092876524336,0.07665000805072993,0.1477374540174594,0.07395040830726564,0.12985832035927108,0.06964156445606873,0.1588760881305822,0.07722755725150382,0.03214432951142488,0.053319861344407964,0.026102201942590067,0.009327215077770176,0.009322039656924195,0.0037097696805149264,0.0019219911796345085,0.0013102627011967612,0.0008201088113313788,0.00018313112426346123,1.0056537523121858e-87,0.0,0.00014703871728771737,0.0,0.0,6.42773851310386e-05,0.0,6.618170278015972e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S_5,0.000246579842840988,0.0,0.000246579842840988,0.0,0.000246579842840988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5770113160402116e-299,0.0003378209005877065,0.00013370002001367165,2.3698528089733163e-64,0.0010152880316468681,0.003192177864645093,0.0026907843491502477,0.003864172818354314,0.006042970732903204,0.022030521509934793,0.07419275295087267,0.1400890238678357,0.1460234385256687,0.22014217774348818,0.10165137811978812,0.2011425013724933,0.048091092713629414,0.012625151157285153,4.671036869033083e-05,0.010321280202729115,0.003790888880991978,0.0018364283407683532,6.956676469763552e-86,8.133779500983462e-107,1.1618762017877143e-64,7.375250203258965e-90,3.164940339466318e-75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000972211568629997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5236337337873086e-227,0.0,0.0,0.0,2.3280824873770055e-272,0.0,0.0,0.0,7.823411047946383e-243,9.329569290231184e-247,7.229073060554127e-286,2.8759336275133294e-83,0.005129201785464307,3.6288891233853136e-50,4.3528296040057025e-34,3.2509548137027353e-25,0.021278512447291602,0.04528099303864985,1.3934366984865196e-22,0.02323684178512339,0.2330474019797495,0.0010173323462944002,0.2558730975748207,0.28233019012012556,0.10044606016874195,0.010921041843111432,3.073885538683342e-10,0.007975713775501606,0.00021048565020068342,5.005841404927691e-18,5.289670136168308e-59,0.008385972612841554,0.0029227314274347695,2.9726473895715376e-105,5.584109752997619e-29,8.640869145849842e-205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000972211568629997,0.0,0.0,0.0,0.0
