,S_0,S_1,S_2,S_3,S_4,S_5,S_6
S_0,1.1495566326859228e-30,2.2280905480832173e-280,0.9343122512446421,0.06568774875535792,3.6953145950411654e-79,1.4812545212453565e-277,3.2006559414304244e-229
S_1,1.7365120291003144e-25,3.3741243436989927e-10,1.8876702390210334e-51,3.143295052517566e-225,9.40680856419426e-100,0.7821713585095404,0.21782864115304706
S_2,0.9852624384452703,1.3493658282262126e-271,9.72570771741486e-25,0.01473756155472987,1.053446299672586e-73,1.1140245989404203e-262,1.1548500128460036e-207
S_3,0.00028343612767901127,1.4953554249667378e-180,0.0052248385315591525,0.9852379902504282,0.009253735090333623,2.9018558541846614e-173,2.9182224267150266e-73
S_4,9.075787646006962e-09,5.713182247788686e-42,0.005167167611587638,0.00011745841102598844,0.9853893681297377,9.021302446004408e-53,0.009325996771861059
S_5,1.1797069367781402e-31,0.99808143081105,0.001918567217932037,3.768534524271827e-165,3.7165686734517127e-47,1.4982442282326004e-11,1.956035455472428e-09
S_6,0.020812880061939217,4.060387754657994e-18,7.435481427453225e-51,1.6936804113768428e-99,0.11650781390654741,0.8626793060315134,7.393679022839381e-39
