,S_0,S_1,S_2,S_3
S_0,0.0,347.92850255724284,235.68631692895696,277.6916192007784
S_1,347.92850255724284,0.0,301.53551694320436,326.85053603843653
S_2,235.68631692895693,301.53551694320424,0.0,256.04628057366455
S_3,277.6916192007784,326.85053603843653,256.04628057366455,0.0
