,S_0,S_1,S_2,S_3
S_0,0.0,509.69411169163,260.2734852415345,376.87695345434287
S_1,509.6941116916298,0.0,508.491116862987,425.4945608070945
S_2,260.2734852415345,508.49111686298716,0.0,359.4288167031108
S_3,376.8769534543428,425.4945608070945,359.42881670311067,0.0
