,S_0,S_1,S_2,S_3
S_0,0.0,71.50356101986807,65.88232724121548,67.61481923783016
S_1,71.50356101986804,0.0,93.18373164721083,62.671762802294914
S_2,65.88232724121548,93.18373164721086,0.0,79.72589370627159
S_3,67.61481923783015,62.67176280229493,79.72589370627156,0.0
