center,difference,J,Jsim
-0.017858875015938296,0.0,0.0,0.0
-0.01773820694150628,-0.19859084913918415,0.19859084913918415,0.3971816982783683
-0.01761753886707426,0.0,0.0,0.0
-0.017496870792642248,0.0,0.0,0.0
-0.01737620271821023,0.0,0.0,0.0
-0.017255534643778218,0.0,0.0,0.0
-0.0171348665693462,0.0,0.0,0.0
-0.017014198494914187,0.0,0.0,0.0
-0.01689353042048217,0.0,0.0,0.0
-0.016772862346050153,0.0,0.0,0.0
-0.01665219427161814,0.0,0.0,0.0
-0.016531526197186123,0.0,0.0,0.0
-0.01641085812275411,0.0,0.0,0.0
-0.016290190048322092,0.0,0.0,0.0
-0.016169521973890075,0.0,0.0,0.0
-0.016048853899458062,0.0,0.0,0.0
-0.015928185825026045,0.0,0.0,0.0
-0.01580751775059403,0.0,0.0,0.0
-0.015686849676162015,0.0,0.0,0.0
-0.01556618160173,0.0,0.0,0.0
-0.015445513527297984,0.0,0.0,0.0
-0.015324845452865969,0.0,0.0,0.0
-0.015204177378433954,0.0,0.0,0.0
-0.015083509304001938,0.0,0.0,0.0
-0.014962841229569921,0.0,0.0,0.0
-0.014842173155137906,0.0,0.0,0.0
-0.014721505080705891,0.0,0.0,0.0
-0.014600837006273876,0.0,0.0,0.0
-0.01448016893184186,0.0,0.0,0.0
-0.014359500857409845,0.0,0.0,0.0
-0.014238832782977828,0.0,0.0,0.0
-0.014118164708545813,0.0,0.0,0.0
-0.013997496634113798,0.0,0.0,0.0
-0.013876828559681783,0.0,0.0,0.0
-0.013756160485249767,0.0,0.0,0.0
-0.013635492410817752,0.0,0.0,0.0
-0.013514824336385737,0.0,0.0,0.0
-0.01339415626195372,0.0,0.0,0.0
-0.013273488187521705,0.0,0.0,0.0
-0.01315282011308969,0.0,0.0,0.0
-0.013032152038657674,0.0,0.0,0.0
-0.012911483964225659,0.0,0.0,0.0
-0.012790815889793644,0.0,0.0,0.0
-0.012670147815361627,0.0,0.0,0.0
-0.012549479740929612,0.0,0.0,0.0
-0.012428811666497596,0.0,0.0,0.0
-0.012308143592065581,0.0,0.0,0.0
-0.012187475517633566,0.0,0.0,0.0
-0.01206680744320155,0.0,0.0,0.0
-0.011946139368769534,0.0,0.0,0.0
-0.011825471294337518,0.0,0.0,0.0
-0.011704803219905503,0.0,0.0,0.0
-0.011584135145473488,0.0,0.0,0.0
-0.011463467071041473,0.0,0.0,0.0
-0.011342798996609458,0.0,0.0,0.0
-0.011222130922177442,0.0,0.0,0.0
-0.011101462847745425,0.0,0.0,0.0
-0.01098079477331341,0.0,0.0,0.0
-0.010860126698881395,0.0,0.0,0.0
-0.01073945862444938,0.0,0.0,0.0
-0.010618790550017364,0.0,0.0,0.0
-0.01049812247558535,0.0,0.0,0.0
-0.010377454401153332,0.0,0.0,0.0
-0.010256786326721317,0.0,0.0,0.0
-0.010136118252289302,0.0,0.0,0.0
-0.010015450177857287,0.0,0.0,0.0
-0.009894782103425271,0.0,0.0,0.0
-0.009774114028993256,0.0,0.0,0.0
-0.00965344595456124,0.0,0.0,0.0
-0.009532777880129224,0.0,0.0,0.0
-0.009412109805697209,0.0,0.0,0.0
-0.009291441731265193,0.0,0.0,0.0
-0.009170773656833178,0.0,0.0,0.0
-0.009050105582401163,0.0,0.0,0.0
-0.008929437507969148,0.0,0.0,0.0
-0.00880876943353713,0.0,0.0,0.0
-0.008688101359105116,0.0,0.0,0.0
-0.0085674332846731,0.0,0.0,0.0
-0.008446765210241085,0.0,0.0,0.0
-0.00832609713580907,0.0,0.0,0.0
-0.008205429061377055,0.0,0.0,0.0
-0.008084760986945038,0.0,0.0,0.0
-0.007964092912513022,0.0,0.0,0.0
-0.007843424838081007,0.0,0.0,0.0
-0.007722756763648992,0.0,0.0,0.0
-0.007602088689216977,0.0,0.0,0.0
-0.007481420614784961,0.0,0.0,0.0
-0.0073607525403529455,0.0,0.0,0.0
-0.00724008446592093,0.0,0.0,0.0
-0.007119416391488914,0.0,0.0,0.0
-0.006998748317056899,-0.19859084913918698,0.19859084913918698,0.39718169827837396
-0.006878080242624884,0.0,0.19859084913918698,0.19859084913918698
-0.0067574121681928685,0.0,0.0,0.0
-0.006636744093760852,0.0,0.0,0.0
-0.006516076019328837,0.0,0.19859084913918698,0.19859084913918698
-0.006395407944896822,0.0,0.0,0.0
-0.006274739870464806,0.1985908491391856,0.1985908491391856,0.0
-0.006154071796032791,0.0,0.0,0.0
-0.006033403721600775,0.0,0.19859084913918698,0.19859084913918698
-0.005912735647168759,0.1985908491391856,0.1985908491391856,0.0
-0.005792067572736744,0.0,0.0,0.0
-0.005671399498304729,0.0,0.0,0.0
-0.005550731423872713,0.0,0.0,0.0
-0.0054300633494406975,-0.19859084913918698,0.19859084913918698,0.39718169827837396
-0.005309395275008682,0.0,0.0,0.0
-0.005188727200576666,-0.1985908491391855,0.3971816982783712,0.5957725474175567
-0.005068059126144651,0.0,0.0,0.0
-0.004947391051712636,0.19859084913918698,0.19859084913918698,0.0
-0.00482672297728062,0.1985908491391856,0.1985908491391856,0.0
-0.004706054902848604,0.19859084913918698,0.19859084913918698,0.0
-0.004585386828416589,0.0,0.19859084913918698,0.19859084913918698
-0.004464718753984574,0.0,0.0,0.0
-0.004344050679552558,-0.992954245695928,0.5957725474175567,1.5887267931134847
-0.004223382605120543,0.0,0.0,0.0
-0.004102714530688527,-0.19859084913918698,0.19859084913918698,0.39718169827837396
-0.003982046456256511,0.0,0.5957725474175567,0.5957725474175567
-0.003861378381824496,0.0,0.992954245695935,0.992954245695935
-0.0037407103073924803,0.1985908491391863,0.1985908491391863,0.0
-0.003620042232960465,0.19859084913918698,0.39718169827837396,0.19859084913918698
-0.0034993741585284495,0.19859084913918634,0.5957725474175589,0.3971816982783726
-0.0033787060840964342,0.0,0.5957725474175609,0.5957725474175609
-0.0032580380096644186,0.19859084913918623,0.7943633965567451,0.5957725474175589
-0.003137369935232403,0.39718169827837246,0.9929542456959314,0.5957725474175589
-0.0030167018608003877,0.5957725474175608,1.5887267931134958,0.992954245695935
-0.002896033786368372,0.0,1.1915450948351178,1.1915450948351178
-0.0027753657119363563,0.9929542456959314,1.390135943974304,0.3971816982783726
-0.002654697637504341,0.0,2.978862737087805,2.978862737087805
-0.0025340295630723255,0.3971816982783727,3.1774535862269806,2.780271887948608
-0.00241336148864031,0.5957725474175586,2.9788627370877943,2.3830901896702357
-0.0022926934142082946,1.1915450948351216,6.156316323314797,4.964771228479675
-0.002172025339776279,-0.7943633965567445,7.943633965567451,8.737997362124196
-0.0020513572653442637,0.1985908491391868,7.546452267289105,7.347861418149918
-0.001930689190912248,1.5887267931134872,10.128133306098482,8.539406512984995
-0.0018100211164802326,2.184499340531053,12.312632646629572,10.128133306098519
-0.0016893530420482171,1.9859084913918643,18.86613066822273,16.880222176830866
-0.0015686849676162015,2.184499340531051,20.653448310475376,18.468948969944325
-0.001448016893184186,1.1915450948351172,29.59003652173881,28.398491426903693
-0.0013273488187521706,-2.5816810388094282,46.271667849430486,48.853348888239914
-0.001206680744320155,6.752088870732329,56.00261945725053,49.2505305865182
-0.0010860126698881394,-1.787317642252674,69.70538804785451,71.49270569010719
-0.000965344595456124,-10.326724155237699,111.80664806536218,122.13337222059988
-0.0008446765210241086,4.170407831922915,143.58118392763194,139.41077609570902
-0.000724008446592093,-1.787317642252674,175.35571978990166,177.14303743215433
-0.0006033403721600774,3.971816982783764,366.9958892092166,363.02407222643285
-0.000482672297728062,-8.34081566384583,223.61329613072414,231.95411179456997
-0.0003620042232960465,4.964771228479663,587.2331409045744,582.2683696760947
-0.000241336148864031,-11.518269250072763,1067.425814123128,1078.9440833732008
-0.0001206680744320155,-7.943633965567528,578.6937343915896,586.6373683571571
0.0,-1.5887267931136648,1112.3073460285839,1113.8960728216975
0.0001206680744320155,9.135179060402606,567.7712376889344,558.6360586285318
0.000241336148864031,-7.745043116428178,1127.2016597140232,1134.9467028304514
0.0003620042232960465,-4.76618037934054,586.2401866588784,591.006367038219
0.000482672297728062,0.7943633965567471,230.16679415231732,229.37243075576058
0.0006033403721600774,-13.901359439743032,372.55643298511416,386.4577924248572
0.000724008446592093,4.964771228479663,180.71767271665968,175.75290148818002
0.0008446765210241086,1.9859084913918537,132.46009637583737,130.4741878844455
0.000965344595456124,6.7520888707323365,113.59396570761466,106.84187683688232
0.0010860126698881394,0.7943633965567543,62.95329917712217,62.158935780565415
0.001206680744320155,5.560543775897223,58.58430049606006,53.02375672016284
0.0013273488187521706,-0.79436339655674,40.11535152611563,40.90971492267237
0.001448016893184186,1.5887267931134943,31.97312671140905,30.384399918295557
