,O_0,O_1,O_2,O_3,O_4,O_5,O_6,O_7,O_8,O_9,O_10,O_11,O_12,O_13,O_14,O_15,O_16,O_17,O_18,O_19,O_20,O_21,O_22,O_23,O_24,O_25,O_26,O_27,O_28,O_29,O_30,O_31,O_32,O_33,O_34,O_35,O_36,O_37,O_38,O_39,O_40,O_41,O_42,O_43,O_44,O_45,O_46,O_47,O_48,O_49,O_50,O_51,O_52,O_53,O_54,O_55,O_56,O_57,O_58,O_59,O_60,O_61,O_62,O_63,O_64,O_65,O_66,O_67,O_68,O_69,O_70,O_71,O_72,O_73,O_74,O_75,O_76,O_77,O_78,O_79,O_80,O_81
S_0,0.00042093297153786416,1.682117856966778e-102,4.613693882962235e-242,0.0,0.0008273595347520627,0.0,0.0012627989146135924,0.00044571668033345366,0.0,0.001242058944899578,0.0008413915078973678,0.0012876826155376944,0.00045579531595130553,0.00042093297153786416,0.0025509706795678305,0.0027374979627254113,0.0018307185336283653,1.2260428672542986e-116,0.0009888480633871608,0.006314893943426828,0.004877241616166693,0.0034193336819210744,0.007933040886655833,0.01800335745215338,0.012677580004719836,0.009972783362481821,0.012365337330288185,0.014440229353617742,0.03050870427991094,0.015227334123611495,0.028828496675055975,0.01882918165050782,0.029114166396323384,0.03046513683683049,0.03393351905434462,0.02913398325063489,0.04028512171729549,0.043347038110013204,0.04641601547849877,0.06654804254378552,0.04818098298194662,0.04845092592847385,0.04601737595578349,0.03226564128023259,0.0315916225543735,0.05068753464225978,0.01874133695518603,0.027820299440712844,0.023933074343992805,0.02234392236079358,0.021619619146686163,0.01349783235550034,0.011215476735789388,0.010904377830174889,0.011101450979083029,0.013458043631493378,0.009701166595132761,0.009993912549003404,0.004439886848970579,0.0027846811672015,0.0038212900279755717,0.004457973209167132,0.0010843510237568202,0.005004534301184557,0.0016837318861514566,0.0013394306255325365,9.651978457706232e-53,0.0016837318861514566,0.00042093297153786416,1.7500763629632817e-26,8.196631711712852e-176,0.0004341535688356969,5.4025003332932425e-225,0.00042093297153786416,0.00042093297153786416,0.0008418659430757283,0.0,0.0,0.00042093297153786416,0.00042093297153786416,0.00042093297153786416,0.00042093297153786416
S_1,0.0,0.0,0.0,3.5417177742494928e-227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.13e-320,0.0,0.0,1.6204888620302984e-200,0.0,0.0,0.0,2.975061372218616e-251,0.0,3.8040018195567064e-283,3.947196305601537e-307,1.3677444931245072e-278,0.00018366131547252023,0.001215273219113134,0.0024558946988924085,0.0008852373459228747,0.008786019964214919,0.011071680272695285,0.0274836983260063,0.04440963300633152,0.07169714950618525,0.10441850169912735,0.1267552739937805,0.22079113184410007,0.14618663157286993,0.1002727640455575,0.058553969080534445,0.03322964611055242,0.021078156316748545,0.017206861561206665,0.0013419739158405488,0.0009960956952717978,0.0008426877323241449,1.0967380622577031e-60,3.0716663192427868e-43,5.322354962579813e-122,2.3935130182101134e-222,0.0001380587772518645,0.0,2.056844757512004e-282,0.0,3.3961514544303145e-196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1082175718672867e-192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S_2,4.234012533897457e-108,0.0,0.0004880639886154173,0.0009177389122077607,0.00047468325104704713,0.0009177389122077607,0.0,0.0008907215775111917,0.001376608368311641,0.0004814786106788105,0.00045938664964076723,0.0008906125736237304,0.0013386040633380886,0.0,0.001347237155633569,0.0034399580658936086,0.0021796941320039323,0.007341911276461247,0.004324033933225356,0.0009489533544307272,0.0031386596036560178,0.006539480795132667,0.009700593675040559,0.005522101853329473,0.012217162540155374,0.012882026195005274,0.00921623723457223,0.02265942383804021,0.012752246167473377,0.02462658592151509,0.027875759481928948,0.0354688756530609,0.033297134872073614,0.03282930897558814,0.04844948185894112,0.03991037195701756,0.0448165182260198,0.04318544169608953,0.03527527321003349,0.043927205473268116,0.04419451716504867,0.031513580360950755,0.038613026905115505,0.04776593146232196,0.03740823672445963,0.026754847740854317,0.0311870806820812,0.03506686484968915,0.025528984672605143,0.023337785527855426,0.021236001251260687,0.023116984106012442,0.01610171370409458,0.006180161677350185,0.011741343168559189,0.011360772098186348,0.006765898849663459,0.0034682840513339023,0.002045710506251312,0.006429310440083939,0.0017996200408256261,0.0019036298837561733,0.006618702850296126,0.0005097361571651326,0.0,0.0008342007864541072,0.001376608368311641,8.638181334409228e-200,8.386732366656903e-300,0.001376608368311641,0.00045886945610388035,0.0013621962678100515,0.00045886945610388035,0.0,0.0,1.7170686051617878e-181,0.00045886945610388035,0.0009177389122077607,0.0,0.0,0.0,0.0
S_3,0.0,0.0,8.785135496712309e-05,0.0,2.483395450170622e-220,0.0,0.0,1.5018251755769224e-192,0.0,0.0,0.0,0.0,0.0,0.0,3.4996203364928067e-07,3.2078870613204587e-146,8.45010515190795e-05,4.3330417700810115e-12,2.13521263477901e-05,0.0,0.0001476053619756078,0.0006216062038326731,0.00034692273748740876,0.0008627472907903988,0.0013034247461684843,0.003206057383557437,0.005417381741672393,0.00648087075043888,0.00865565356262854,0.013602503665175288,0.018218554086004642,0.024232922071316606,0.02930514090565552,0.03410759662308982,0.04378704608799706,0.06106208562201754,0.061510587196793656,0.06824586369887492,0.07123590693593673,0.086359078913747,0.07016929708000853,0.07249838184370738,0.05981123581662988,0.057496970377361505,0.04832613031262507,0.039310173659884665,0.0331305482994121,0.024814235586848084,0.017693608533404227,0.013247469538612309,0.007183527197220557,0.007696733501857327,0.003915219931924132,0.0027994675714451056,0.0018800696372652619,0.0004954468434211855,0.0003948402315189237,0.0001735436018360151,5.7299339091287405e-111,3.502364593402638e-05,1.1638981899836553e-144,2.4466704722380128e-05,9.482891419373937e-66,6.188355234705922e-307,0.0,4.483616695045828e-225,0.0,7.634395289167038e-139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6918e-319,0.0,0.0,2.402478941976048e-40,0.0,0.0
S_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9589508484918503e-21,1.487161943133439e-273,0.0,0.0,0.0,1.0385529449253184e-58,2.1933588441290623e-05,5.209689394413147e-58,0.00016428720188325688,0.00042112926491397526,0.00047219251911220084,0.0010584322727712743,0.0016237421202987198,0.002233086172306472,0.006354354584438765,0.009746872281876163,0.015536645206734406,0.02605165129526727,0.04015471394266366,0.05560610584652148,0.07280566538660829,0.09500299639236347,0.11009728529900058,0.12370585979334686,0.1120547016381801,0.09350833820863504,0.07740654661805567,0.05090181658833638,0.039339563090923464,0.02655165009432874,0.01658481685617699,0.008996938054287576,0.007019537239575122,0.0030148431164256782,0.0014093227452552357,0.0007229303662409022,0.0005928863354396151,0.0006225603897348987,3.376343079388231e-106,0.00014753660583975348,4.1840747431476865e-251,6.087145878044298e-227,6.90588840167447e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S_5,0.0,0.00016708312147376662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.168459686677688e-110,0.0,0.0,0.0,3.9186047901494274e-61,1.2371405788739616e-200,1.0988227547248638e-245,3.3043157544597778e-174,4.31384e-319,2.0332229876192718e-85,0.0002932767715371535,6.492457155840417e-14,0.0004583919610852775,0.0021029198369594596,0.009219766927213375,0.018146686817756674,0.044043060547287814,0.056685648239615555,0.10240268037546699,0.1320048210233734,0.21914330694968112,0.14160592636903374,0.11439345552810806,0.07558648363174338,0.04055031054490942,0.020866914027187246,0.008010231794466593,0.008277569553195774,0.003220472867125364,0.0019763153249265316,0.0005165333407887015,4.1284553660839947e-07,0.0001857702759592585,1.0560952248586234e-20,9.476128621300735e-92,0.0,2.5033096676814e-311,0.0,0.00014196132550380392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.194002456025661e-77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.273614993e-314,0.0,0.0
S_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006086276299433219,0.0,0.0,0.0,6.726369221128553e-168,6.961997380250738e-211,0.0,1.3624589080663464e-196,3.43436265049389e-250,1.70924095876565e-46,2.267192821965676e-39,0.022333179743306737,0.14618028141061357,0.0007070174883487055,0.0006151237416488621,2.198645508762936e-07,0.007798312841658135,0.12893827972583108,0.03438060475994491,0.09311306798249808,0.08033905606333334,0.00038172578584429396,0.011738861644859419,6.500162708322035e-08,0.40025191349659917,0.00016499975228746928,0.0011130843169274002,0.00046726746806814625,0.014753316020208691,6.720725458385456e-42,0.02858943386963884,0.016384317500782675,2.0258026406650864e-99,3.9213599031553013e-128,1.0061516497974772e-50,0.0,0.005663595221989329,0.0,2.6e-322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.881744641358199e-236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
