,S_0,S_1,S_2,S_3,S_4
S_0,0.0,77.17731879398933,86.4892359074305,90.11219296038418,69.4625210837911
S_1,77.1773187939893,0.0,72.44160397915128,112.3565634782664,73.04745971867965
S_2,86.4892359074305,72.4416039791513,0.0,129.03469130857877,56.329416651032915
S_3,90.11219296038419,112.35656347826644,129.0346913085788,0.0,112.22621552538463
S_4,69.4625210837911,73.04745971867966,56.329416651032915,112.2262155253846,0.0
