,S_0,S_1,S_2,S_3,S_4,S_5,S_6
S_0,0.028961428835576262,0.9032394506398564,2.3647634555190617e-06,0.03325531743954967,0.03396125277070818,0.0005792114973251997,9.740535287195273e-07
S_1,1.2096545052690568e-09,2.865071888396094e-08,1.2201631628083348e-05,0.9999869828906478,6.964123577674582e-07,8.9204626580058e-08,3.6640948268760366e-13
S_2,3.4224464198399e-10,0.010102644320432348,0.014632800094569283,4.5206757697861757e-17,6.094384394966072e-161,0.9739028567050332,0.0013616985377204486
S_3,0.3671131189765687,0.0010340647454423887,2.9119576654099773e-07,0.6161252833252343,7.446787367605771e-07,0.0007335292142249544,0.014992967864026353
S_4,6.207924304757713e-08,0.0004780696772168929,8.184735305731127e-25,0.008886425677077054,0.9901013794799054,4.3581859737153444e-29,0.0005340630865576417
S_5,3.419023810650963e-07,0.001416431150703668,0.9487473917815287,0.04460678178721615,6.093060079183558e-154,0.005228960437970167,9.294020005791706e-08
S_6,1.866252918795674e-10,6.819126819034794e-08,0.9760147568076202,7.27327305216152e-07,0.023984413148330573,1.1738089227447604e-08,2.2600761416038978e-08
