,S_0,S_1,S_2,S_3
S_0,0.0,335.4176941461989,234.43554511081982,256.408600224838
S_1,335.4176941461989,0.0,319.2656322519025,305.93117298107484
S_2,234.43554511081982,319.2656322519025,0.0,286.253407721149
S_3,256.408600224838,305.93117298107484,286.253407721149,0.0
