,0
0,1.0
1,0.0057374548822427185
2,0.006629823800174857
3,0.006956166955072334
4,0.004570552058685375
5,0.009492054662662962
6,0.00294575684272269
7,0.008565919138532316
8,0.006858084767914538
9,0.0042598768242497545
10,0.004555941137880629
11,0.002740184537469233
12,0.0023148566478551056
13,0.0018383486154414893
14,0.002460269190662326
15,0.003606702949580829
16,0.00491576063886511
17,0.0033628881777167407
18,0.0019328789474658717
19,0.0065864046267152185
20,0.0029311772666443096
21,0.007332179789840579
22,0.0033646669625884817
23,0.0033453853178298416
24,0.0023746729719107905
25,0.0011848439723143483
26,0.006779361433490673
27,0.004662062950669926
28,0.0029461260996921823
29,0.003292660832012649
30,0.005021233662527444
31,0.002633182022294375
32,0.0016817373160761793
33,0.006592351077007958
34,0.004023779005846307
35,0.001035521061849914
36,0.00293391595096071
37,0.0011238180850008913
38,0.007634880357905276
39,0.0013720848367420103
40,0.0015477771903365046
41,0.0015977276632272554
42,0.0010406570741030188
43,4.3118838743000356e-05
44,0.0012856775950259446
45,0.0020409925010909636
46,0.001323523958646578
47,0.00275358016223145
48,0.0007012379678540331
49,0.0020522046468659768
50,0.002673066379249987
51,0.003323645134365221
52,-0.000674339429600989
53,0.08201410060458883
54,0.0045642136274418555
55,0.0023293565213831358
56,0.002348382044594567
57,0.006562966750585339
58,0.000651630485154288
59,0.0015955467657806195
60,0.0011447536264767664
61,-0.0008169676998752451
62,-0.0005252558274834598
63,-0.0008513103498555449
64,0.005796963771791739
65,0.00013602647013614345
66,0.0009856645054635651
67,0.0008789683799411159
68,0.001462287321207342
69,0.0008159372232505018
70,-2.71102686074595e-05
71,-2.326068456140865e-05
72,0.002479458857103283
73,2.079636093496452e-05
74,0.0012910308295954061
75,0.0008571658030771131
76,-0.00029865817551095515
77,0.0038893885859719395
78,-0.0026810075364458665
79,-0.0004912945831758127
80,-0.00036337029225715333
81,0.000701781286195258
82,-0.0019045535153943082
83,-0.0008043028157491048
84,0.0011897169844224534
85,0.000980089368886815
86,0.0006553223545494736
87,-0.0006253858996940362
88,-0.0007732286709292595
89,-5.1175215993058377e-05
90,0.0004842200886109436
91,0.0007316013003555579
92,5.721214214679016e-05
93,0.004259252431893002
94,0.0013373004598917252
95,0.0029335545093202497
96,-0.000487750223430533
97,0.0006048608902462747
98,0.00021100851859274229
99,0.004692905124418366
100,0.000661784563339122
