lag,acf,lower,upper
1,-0.009777554080869914,-0.019372088356328795,-0.00018301980541103081
2,-0.0028944501946074263,-0.012489901669112204,0.0067010012798973525
3,0.008162768066696592,-0.0014327637812797042,0.017758299914672888
4,-0.01174414756694745,-0.021340318618498038,-0.0021479765153968634
5,0.0021038267597336072,-0.007493667301062365,0.01170132082052958
6,0.006484899707680263,-0.003112636806169353,0.01608243622152988
7,0.0088454311470195,-0.0007525087199552315,0.01844337101399423
8,-0.001382014699800313,-0.010980704963289905,0.00821667556368928
9,-0.0003639923488090916,-0.009962700929567966,0.009234716231949783
10,0.009659197476576106,6.048762518615948e-05,0.019257907327966055
11,0.0020457979580697457,-0.007553806633174568,0.011645402549314059
12,0.010727224188776873,0.0011275794629244888,0.02032686891462926
13,-0.00606994188513894,-0.015670690034904962,0.0035308062646270816
14,-0.008986898093593798,-0.01858799951095029,0.0006142033237626961
15,-0.0004972380554758232,-0.010099113807781824,0.009104637696830179
16,0.006619304466481658,-0.0029825736562174767,0.016221182589180795
17,-0.010302182023156395,-0.01990448020149921,-0.0006998838448135838
18,0.010084216905227822,0.0004809012886847937,0.01968753252177085
19,-0.003798831933587048,-0.013403122290407563,0.005805458423233468
20,0.008175710019810684,-0.001428718655280041,0.017780138694901408
21,0.014394249793850188,0.004789180480699637,0.02399931910700074
22,-0.0032518155172642214,-0.012858870378815486,0.006355239344287044
23,0.00525881190860818,-0.0043483442757085225,0.014865968092924883
24,0.002530027809122324,-0.007077393360769011,0.012137448979013659
25,0.011041692209112492,0.001434209706791277,0.020649174711433706
26,0.00397522196105042,-0.00563342864945895,0.01358387257155979
27,0.0002140850172692299,-0.009394716985872404,0.009822887020410865
28,0.00019323412227531718,-0.009415568319953835,0.00980203656450447
29,0.012404209041542194,0.002795406241590621,0.02201301184149377
30,0.0018862653158884107,-0.007724011436134305,0.011496542067911127
31,0.008303227708415887,-0.0013070831249491193,0.01791353854178089
32,-0.005025344200162042,-0.014636315406572255,0.004585627006248173
33,-0.0025461215128965214,-0.01215733460305091,0.007065091577257866
34,3.7578620588903906e-05,-0.009573696560249065,0.009648853801426872
35,0.0023781796462914555,-0.007233095548071862,0.011989454840654773
