,O_0,O_1,O_2,O_3,O_4,O_5,O_6,O_7,O_8,O_9,O_10,O_11,O_12
S_0,0.0,0.0,0.0,0.0,1.1664431410109947e-05,0.00549963447158575,0.1338691019964072,0.7751595558391655,0.08543238781684567,2.7655444585810094e-05,1.5581123576039263e-25,1.7044478620826015e-25,0.0
S_1,0.0,0.0,0.0,0.0,0.0035404749358166243,1.6533920048995852e-08,0.018896028646556897,0.8473271895016812,0.13023629038073437,1.290756654079636e-12,5.644000176972765e-19,2.566257868566921e-52,0.0
S_2,0.0,0.0,0.0,0.0,7.19009306368982e-05,0.0006987967787029628,0.00043635423749666347,0.9918664080932884,0.006173127977788004,1.7566356465612823e-05,0.0007358456256214966,6.062238004069434e-41,0.0
S_3,0.0,0.0,0.0,0.0,0.017619951679414415,0.020895375099725118,0.25167268142520416,0.294435182786101,0.3416104223706686,0.06273897734061556,0.005283794727599286,0.005743614570671957,0.0
