,O_0,O_1,O_2,O_3,O_4,O_5,O_6,O_7,O_8,O_9,O_10,O_11,O_12,O_13,O_14,O_15,O_16,O_17,O_18,O_19,O_20,O_21,O_22,O_23,O_24,O_25,O_26,O_27,O_28,O_29,O_30,O_31,O_32,O_33,O_34,O_35,O_36,O_37,O_38,O_39,O_40,O_41,O_42,O_43,O_44,O_45,O_46,O_47,O_48,O_49,O_50,O_51,O_52,O_53,O_54,O_55,O_56,O_57,O_58,O_59,O_60,O_61,O_62,O_63,O_64,O_65,O_66,O_67,O_68,O_69,O_70,O_71,O_72,O_73,O_74,O_75,O_76,O_77,O_78,O_79,O_80,O_81,O_82,O_83,O_84,O_85,O_86,O_87,O_88,O_89,O_90
S_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003666844313763487,5.631754798840421e-35,0.00042299179464787105,0.0033215773109498306,0.003595637591041319,0.0012729700660952495,0.006363627962810017,0.006593288154448141,0.013782698687880698,0.01720707465140782,0.024366653751492783,0.029629874403816814,0.03517290096777213,0.04475823558677952,0.053436781886093965,0.06016964557564866,0.07478505101273776,0.08727820511842065,0.0843292480480758,0.08556048985365716,0.07512300718761794,0.06258108634592915,0.04894704369059165,0.03898398677478973,0.037827104591016944,0.02939458061006834,0.022713788553335404,0.021517036900094995,0.01116323808302798,0.005066738908538087,0.007203140341768737,0.0026913880617773743,0.0015437274541311953,0.0028304956407881458,8.808345686839868e-147,1.7915319385637321e-96,1.371803478871183e-12,0.0,0.0,0.0,5.260441865601134e-84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.95049897e-316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S_1,4.672651888629145e-113,0.0,0.0004899166572640894,0.0004899166572640894,0.0004899166572640894,3.6052647243230655e-226,0.0,0.0,0.0009798333145281787,1.6959448485534033e-172,0.00048069778370664313,1.1457876427197906e-288,0.0004948878937958042,0.0004899166572640894,0.0009798333145281787,0.0009798333145281787,0.001469749971792268,0.0005196032822085723,1.5923286975736502e-274,0.0016253041861752475,0.0008919546081179677,0.002181969243486739,0.0035881536666509646,0.007133752888322134,0.0039371463467529864,0.003982787278662665,0.006129483574574237,0.006302966883397816,0.008008630444830174,0.011567896753505806,0.01897219406682872,0.023900307379883818,0.02067755958073814,0.02461566881093918,0.026431972157606235,0.02285784848247558,0.04129089164135991,0.027474834966475854,0.03014206264277526,0.04335691960643049,0.0482785492439873,0.05148562739138606,0.036011745926909575,0.06020669094551471,0.04198405893465342,0.04529759106403344,0.04428769029391069,0.039711535812177436,0.027331448900908988,0.03871979538922231,0.030777843024062324,0.02080066316615181,0.030626604733838055,0.030151746868415194,0.017766088627549196,0.015775874344920345,0.0131315220879382,0.01024986798219801,0.015372433049499533,0.0022512766894371796,0.004160746273443465,0.006164509722987333,0.0009295369505794178,0.007774520250740733,0.005360033706665552,8.859677630720722e-145,0.005661279972401997,0.0006887438938157297,2.0682473977374984e-138,0.0006093434551355029,0.0,1.0561193652118356e-140,0.00048782568131692367,6.172676309540928e-252,0.001469749971792268,0.0,0.0004899166572640894,0.00042952494785595483,0.0007173051269989813,0.00043414822636189774,0.0009798333145281787,0.0,0.0,2.1380883350204927e-215,2.5266560173778648e-129,0.0,0.0,0.0004899166572640894,0.0,1.6861946221280274e-153,6.061690781802578e-296
S_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1963825572501892e-118,0.0,0.0,0.0012317625635349324,1.7076099772011114e-135,1.1572688546695121e-05,0.002850104999306848,0.004770723370692686,0.004967803153992854,0.00890238397675425,0.008996977740977073,0.016377949167625815,0.021580187494809788,0.029889517160680994,0.035630145486949996,0.04556242176505188,0.05419393619207076,0.061488483587037526,0.08090624140518973,0.07073771176206403,0.07798579222500049,0.07507901896596235,0.07647391327339102,0.061235634339323934,0.06160764638714736,0.05636270093349224,0.04121551012099782,0.027720257616921682,0.022758807828146883,0.013764667404234281,0.01203450350781057,0.011002786829862495,0.004163848489446585,0.002893991085594595,0.0030454918967600954,0.0022159420052430888,0.001205368039462913,0.0005593918925679717,0.00017258077444864733,8.729207478637483e-208,3.7558947875787705e-212,0.00025657710763081053,0.0,0.00014764676126834093,0.0,0.0,0.0,0.0,1.149784026696e-312,0.0,0.0,0.0,7.918298467332987e-286,0.0,3.044608492676725e-193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1518950487601697e-279,0.0,0.0,4.852472860378368e-37,0.00019131448607748031,0.0002056671777480468,0.00022957892879053033,0.000525284616798402,0.0013352638910005992,0.003945190739872774,0.010163625932024497,0.01710754134501628,0.038054329273128504,0.06949002541527857,0.11041444161407007,0.1532842097839337,0.1681466892570838,0.1573486577766242,0.11876558475180828,0.07280336820551016,0.04524323292459641,0.017722684524773616,0.00937772638257793,0.0029589852182586385,0.0021109541379392663,0.0003195687028008841,0.00016716148470750247,1.9229575836620507e-36,9.653893923726076e-125,7.890319906382645e-12,2.264385625247011e-19,0.0,1.44951134e-315,8.891342168963192e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2869154249532863e-09,2.0488896914139306e-147,1.825787781586157e-244,0.0005305905615254298,6.16316818705309e-11,0.001297541284237242,0.0026753914044535766,0.004671309943632944,0.00977543253165043,0.01539250049577071,0.02599612428668274,0.03850294126612519,0.05002053512687854,0.08194394483701811,0.10065099492438881,0.10647071976107716,0.11628908185618737,0.11126253482946144,0.09811156534841001,0.08318433604830482,0.05330421067709583,0.03579867873057257,0.02892508316158164,0.018651491015311362,0.00804046354730216,0.004379105614025058,0.002336767150737471,0.001257121276272498,3.8907721244102014e-84,0.0003766593101317742,1.9406107067783084e-35,0.0,7.781679947100298e-05,7.705686314695939e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S_5,2.392739571864195e-143,0.00045740759165756464,0.0,0.0,0.0,0.00045740759165756464,0.0009148151833151293,0.0,0.0,0.0013722227749726939,0.0,0.0,1.777827561659051e-23,2.1093446191988047e-103,0.0,5.01814955715218e-174,8.57146775044143e-91,0.0022593212284848863,0.0030138658542433043,0.0006766151212974264,0.0023690853572953187,0.0018563206872244243,0.0016814265080776394,0.0011155457465574301,0.003742679319961821,0.005948135352169364,0.007447319575533474,0.011591656701152756,0.006613951393206925,0.01697323877878055,0.015349920602970114,0.018853788101957026,0.028485440595764328,0.027222905751528435,0.021800379883969823,0.04020264338336476,0.02185259122424361,0.04091074487442679,0.02527479461483763,0.05079492786550687,0.04878042451753008,0.039647734202956614,0.05195948601475314,0.049258700305631335,0.04199487543458053,0.02714348406782557,0.04314136461320603,0.02864912496645719,0.043768463767723836,0.03887281096659549,0.032275238324764505,0.04510264724254048,0.017755105558359238,0.01728253929070818,0.028883723757159554,0.017438003286522882,0.010888043775988978,0.009877730679285032,0.004194990890536665,0.012016026997524866,0.005249984048902651,0.006704064996708337,0.005277148731081203,0.0014321125304478997,0.0015321971144579677,0.0022870379582878232,0.0011255167661271416,0.002247565029515392,0.0022870379582878232,9.352963835391588e-55,0.00045740759165756464,0.0009432189914305143,0.0,0.0013722227749726939,4.953880238321325e-183,4.693245006379616e-299,0.0,2.640748513558437e-210,3.9405767458817123e-209,1.7090926289013023e-164,0.0,0.0,0.00045740759165756464,0.0,0.0,0.0,0.0,0.0,0.00045740759165756464,0.0,1.2469694349301422e-163
S_6,0.004952210780228818,0.0,0.0,1.965073821695203e-119,0.0,4.6722792401942436e-101,0.0,0.004952210780228818,3.6318040721009255e-243,0.0,0.005045397660777925,0.004952210780228818,0.019758592510322866,1.0494480952263249e-94,0.0,1.3008484627304801e-111,1.3953160683739978e-51,8.004006286697021e-60,0.011939701883559166,0.0059587450182293665,2.02412236622311e-181,0.007368358428493099,1.3657662143369738e-144,5.586953849168167e-53,0.0088212147325793,0.007159282687949603,4.246445128656418e-119,1.3285852491692092e-61,0.030643357905490408,0.002737188376111582,3.7524365570809184e-14,2.0926615038368706e-12,0.011117744103041382,0.010379800995209494,0.16459304956318344,9.056084090995217e-07,2.3921412446322028e-11,0.0694891731727078,0.11148507786680689,0.0009742693709200783,1.008118236695218e-11,9.186832261221737e-38,7.353633695570466e-24,3.4651957407003237e-28,2.3596051463498723e-38,4.804637365018928e-24,3.945355944105862e-09,0.0588916334439293,0.06571381374457827,1.4585913561151508e-29,0.05039025399492292,0.032234852049327106,0.027969619144529043,4.1245648357135866e-25,6.325223412244014e-30,0.120724759486599,8.889346084842166e-88,8.696907848771216e-74,4.2271382845611595e-99,4.65476617097324e-69,0.01155549571168229,0.007976431417953032,0.022609721699626623,5.3796483098866094e-30,5.200135514433258e-114,0.0,1.7557420487817611e-274,0.013274193785850997,0.0,0.00869722301539384,0.0,0.014549113079216525,0.004973346933658913,6.214067349947841e-122,6.151193265959967e-194,0.009904421560457635,0.0,0.010514877379725653,0.0076059170812630824,0.005515933243259841,0.0,0.009904421560457635,0.0,0.004952210780228818,0.004952210780228818,0.009904421560457635,0.004952210780228818,0.0,1.4484738465024007e-270,0.004952210780228818,0.004952210780228818
