,S_0,S_1,S_2,S_3,S_4,S_5,S_6
S_0,1.4167587254707782e-07,1.3792460913884334e-15,0.993880166465406,1.6403730137661057e-05,0.006101365730804589,1.92239777775062e-06,1.6412476699083568e-93
S_1,1.6481449102972569e-09,2.0298306795759276e-28,2.327564291544729e-12,8.379830959904095e-104,1.1786925683569251e-102,0.9999999983495275,5.61707291235026e-51
S_2,0.8885032081056624,0.004251247850917879,0.09809436987982036,0.008708789655606928,0.00040232148854450886,4.006301944790457e-05,2.159561199469483e-112
S_3,3.036666775881775e-202,5.030446331744897e-90,3.914552261012244e-198,0.9591670177441788,0.04083298225582125,1.0553490359437575e-72,6.296095659824254e-91
S_4,7.338032951203679e-116,0.0022735500145138767,9.405890109373666e-114,0.006941391289821255,0.982782123572356,0.008002935123308852,8.784300589863126e-157
S_5,3.7183019634637894e-09,0.974869020577797,0.023190306108845815,1.014844400346195e-35,3.4227534605410448e-74,3.038478104990169e-26,0.0019406695950553018
S_6,4.9881887848434084e-27,0.00787711896698033,1.0022507815883905e-05,0.0,8.053427163021124e-93,1.6126942645101055e-40,0.9921128585252038
