,S_0,S_1,S_2,S_3,S_4,S_5,S_6
S_0,0.0,3.3056885097414e-06,33.340627792045396,0.00022185385340146225,5.6077954362828265e-05,31.082231512289987,6.307802036419783e-06
S_1,3.3056885097414e-06,0.0,33.34063107105753,0.0002250535501732877,5.937811527816401e-05,31.082234738225512,9.613456464372112e-06
S_2,33.34062779204539,33.34063107105753,0.0,33.34042199866269,33.34057268769545,3.7548647304204867,33.340621530765006
S_3,0.00022185385340146225,0.00022505355017328772,33.34042199866269,0.0,0.00016721042977643796,31.082034309462976,0.00021576646600319745
S_4,5.607795436282828e-05,5.937811527816403e-05,33.34057268769546,0.00016721042977643798,0.0,31.08217761245826,4.978521576767829e-05
S_5,31.082231512289994,31.082234738225527,3.754864730420488,31.08203430946298,31.08217761245826,0.0,31.082225349046162
S_6,6.307802036419783e-06,9.613456464372113e-06,33.34062153076501,0.00021576646600319745,4.978521576767829e-05,31.082225349046155,0.0
