,O_0,O_1,O_2,O_3,O_4,O_5,O_6,O_7,O_8,O_9,O_10,O_11,O_12,O_13,O_14,O_15,O_16,O_17,O_18,O_19,O_20,O_21,O_22,O_23,O_24,O_25,O_26,O_27,O_28,O_29,O_30,O_31,O_32,O_33,O_34,O_35,O_36,O_37,O_38,O_39,O_40,O_41,O_42,O_43,O_44,O_45,O_46,O_47,O_48,O_49,O_50,O_51,O_52,O_53,O_54,O_55,O_56,O_57,O_58,O_59,O_60,O_61,O_62,O_63,O_64,O_65,O_66,O_67,O_68,O_69,O_70,O_71,O_72
S_0,0.0,0.0,0.0,0.0,0.0,6.091555559597745e-242,3.2993324291470846e-278,5e-324,0.0,5.300409757727601e-207,0.0,3.868106534930805e-202,1.3582709154096383e-86,0.00010700647426897145,2.951621722604804e-117,2.0670612572620884e-19,0.0002011231776375018,0.0002898858585182398,0.00034353880430685197,0.0004556725982438517,0.0011048093327827952,0.003228534719026572,0.000655756426163106,0.004645449512957164,0.0066641693995942676,0.012856101177443686,0.02226593360621609,0.0290840067162354,0.03306735287276388,0.04565536056122849,0.05386987917246581,0.06684536287827758,0.07220936451514369,0.09501618738889156,0.0959377581953694,0.08605080776668012,0.07280833212528612,0.07327067757754326,0.06636997695707847,0.04507296552868335,0.03611440649580816,0.024930177493706365,0.018548540500773564,0.011768040172884157,0.005219672712283551,0.0064247997069047,0.002767811752612033,0.0015523797500140138,0.001838477434606878,0.0010932169572557555,0.0009187480980513823,5.143507469628627e-41,0.000599362004337405,7.302352538610683e-107,8.457987797285054e-146,6.843931803240965e-05,6.193552136149063e-116,7.991425992340429e-05,2.1651083369584895e-120,5.244585585223811e-91,4.664077161601604e-211,2.004441306087322e-150,1.1890340694073238e-292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4200700649694373e-145,0.0
S_1,0.0,0.00031015086869724806,0.00027298176206332785,0.0009304526060917443,0.00031015086869724806,1.2034797304968552e-12,2.0516739922842466e-55,0.0006203017373944961,3.77335805094538e-37,0.0009194392088597136,0.0010182957773385002,0.0006061008760979312,0.0016336328461758224,0.0036748852047362264,0.004338871129492479,0.0022011137033391384,0.004697982506149597,5.130405505819082e-15,0.0033972704564715936,0.006932278986798723,0.0068364324812996745,0.014971021212858208,0.00433484566316761,1.510677828408655e-07,0.017448057388462078,0.03253652160262898,0.026687542167207045,0.02961274230602911,0.04795296765246203,0.041069554070620844,0.05839506170658811,0.03939445869460436,0.06772539621147705,0.05918499043584926,0.06826153384285484,0.050294396424594656,0.023593022324637496,0.060041119662220255,0.03547826477031981,0.04300174532043372,0.04273509165295378,0.04584977524929164,0.02662055950795974,0.029345774727993032,0.026477532416849824,0.010929953056636937,0.011617667992581725,0.01283448323446597,0.002840934094040764,0.006968231312840425,0.00693450234530154,0.004926295020710374,0.0007905222658468381,0.001117092745034856,0.004303242692210035,0.0025435820510846608,4.494313245074706e-18,0.0016161470500143057,7.797201138006835e-18,0.0010039738262898402,0.0006203017373944961,9.815447144369892e-89,2.0207032364135288e-34,1.8629988132758537e-32,0.0,5.2755865645967974e-70,3.763171470207064e-55,0.0006203017373944961,2.913793691129659e-48,0.00031015086869724806,6.582210528623849e-53,0.00031015086869724806,4.07702731923556e-57
S_2,0.0,0.0,0.0,4.0895524449402226e-227,0.0,6.101039142300171e-71,0.0,3.3238468207554946e-211,0.0,1.3282237749337638e-210,4.275179339479477e-292,1.6776354246468476e-77,7.811486636268166e-05,5.419202960879778e-122,3.2023363200888186e-69,7.688973015561752e-05,1.8157657123101068e-92,3.1806790703866925e-05,0.0007625258375198296,0.0009745052961257135,0.00208889986315321,0.0010537475981540023,0.0041642816493102815,0.004361874177057146,0.008239302525504425,0.011030992233923205,0.015834806156735565,0.01970116688738176,0.038542827735175846,0.05125899555826127,0.061518345247087124,0.06864595751355294,0.08252352707439058,0.08288487383246505,0.10367800214182746,0.09175120669905618,0.08276822934272995,0.06986543796690854,0.05510063912836146,0.04518434063711249,0.030999933782075193,0.024600266780595046,0.015011336583178513,0.011613958865750857,0.007072935643688949,0.0030007526169846654,0.0029688593271778715,0.0015035704278675386,1.7840483099994818e-07,1.864477710947685e-45,7.220239368191174e-35,0.0006221603285756895,0.00019535624574701732,9.734739497284151e-120,1.911963289011673e-145,3.094724760543461e-73,3.1141722064499777e-142,5.006528804547942e-121,6.028642154183631e-289,8.219082796364382e-05,2.8532720010567345e-209,0.00020720367654770573,1.2384915751902917e-188,2.6046635575054347e-206,0.0,0.0,0.0,6.121462113836105e-297,1.3380612083164876e-230,0.0,0.0,0.0,0.0
S_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5921162465799985e-205,2.7454913309701055e-286,9.057565682438562e-92,4.3890001133677455e-197,2.941293132444013e-178,6.73935099877107e-181,6.799394351227426e-109,4.663098210673278e-13,5.2732649528701226e-05,4.360794328105044e-90,0.00011506634274200717,0.0006548399055155938,0.0016643631666035947,0.0022775125758280365,0.005997003853756617,0.016128290210947128,0.026744635188282566,0.040983146857443274,0.07397101995122655,0.1057476700224506,0.14254188773354504,0.15349906784617748,0.14126508434892404,0.11418552915114123,0.07639014566900972,0.04526519405567589,0.027549641178225406,0.01375121583099615,0.0057405508252124735,0.0030536786378609964,0.001255364410062509,0.0007697779934890196,8.281791962408863e-05,6.907659960741533e-05,8.15271744156659e-05,3.540898703927198e-05,1.23329865665848e-242,8.362296824643747e-227,1.131793879515715e-153,4.63541554107173e-112,6.495464900621814e-05,0.0,0.0,2.441979506176262e-181,6.27962651964377e-05,0.0,1.214685616123816e-282,0.0,9.920616804923662e-236,0.0,1.0379446252642389e-261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S_4,0.001595205723143757,0.0,0.0016627428307430365,0.0,0.0,3.208659742934602e-298,1.8272526888761467e-193,0.0,0.0,0.004842348186977671,0.0015444015151986786,3.0965946025849405e-177,0.004797930320694003,4.5806129081411226e-160,0.0017833239977090392,0.007195821451954142,0.013029963052699906,0.010990109179682158,0.008971176579563814,0.003992812614794901,1.0629209177066584e-83,0.013630684601375051,0.02703825297514777,0.018489289482358732,0.03411801313215326,0.030152265905615747,0.029831553261320153,0.013406036257136867,0.030817731791455374,0.02699184039482596,0.016703688900908516,0.03499973472919172,0.03332756842710176,0.059413128643382586,0.0777715531933826,0.03897089048670312,0.03837320598767898,0.04234937030373327,0.029052558997718872,0.039644686195530465,0.025775127662156082,0.03314834761130957,0.027889547620792595,0.03490184602628724,0.04680622012141949,0.027057457526516927,0.009931843895664033,0.01121529068137808,0.016718067063045364,0.007085395322610469,0.013993959533336925,0.005725347682992096,0.005433688253566073,0.011239962873342045,0.009725686556830974,7.662014445755742e-218,0.001585201432038862,0.003233321948913709,0.0015969172203596797,7.1239074785792525e-199,7.115729828619581e-301,0.0017174242623028348,2.5557465686221982e-307,0.004945715311924819,0.003190467826594994,0.0,0.0015952744467353308,1.15354e-319,2.8196476923348572e-161,0.0,0.0,0.0,0.0
S_5,0.0002960461767432672,4.1938943117788565e-121,0.00030932141687579705,1.6819987422551033e-129,4.405662149934706e-99,2.8343370186466683e-100,0.0005920827838301422,3.9037486204884223e-66,0.00033408464588892514,1.2091204873029354e-19,5.6421030488917364e-21,0.0020858445748393865,1.8762195924987667e-93,0.0009387541980704161,0.0035206847850467117,0.0060492938723906275,4.870161029490829e-16,0.010112713351883731,0.008380895044378516,0.006194768984020387,0.015858646775293538,0.008960830796370278,0.027118199838174845,0.017248473797754668,0.019461689304303042,0.019310027922738216,0.03573944710000518,0.04097738719894232,0.03719191712687701,0.02929215003188724,0.04484576493783615,0.04159652365855396,0.03689657035980573,0.04618796765143278,0.04183787379675902,0.04988541497148291,0.07363717298753523,0.030803591953028436,0.06595505392639026,0.048349289983227746,0.040318834499613446,0.03019346741737045,0.03073274799706745,0.021184168426041032,0.01893561628146013,0.02261166315856165,0.01930687218424248,0.016722858301377173,0.0032932767015945736,0.004550990855403431,0.0048706542668291416,0.0015971928586986964,0.004208172593435559,0.0010771178249549724,8.469559233721758e-06,0.0009390204340505788,0.0036982967506499404,0.000483365896891254,0.0017759359655987652,1.5670803978632424e-32,7.4035517438510734e-177,8.124679281395402e-40,7.183558591263067e-45,0.0017465532452123561,0.0,0.0005920827838301422,0.0005920752616859316,1.9580633620104628e-150,0.0005920827838301422,0.0,2.3813871624163823e-102,1.2808275662861413e-50,0.0
S_6,2.2903437018513854e-09,4.221499647298535e-91,0.001567590360081312,3.979603979134227e-139,1.236641175949652e-152,0.003036011787444891,4.14331799142745e-52,2.8840017180618747e-81,0.0043589440096203,2.3472842961674722e-57,0.005690454496570134,8.02014100820619e-43,6.074215848700064e-63,1.195908394603504e-20,1.2323369418401297e-30,0.004925282190268653,0.005832276132659695,8.215216048117559e-22,0.022599138830742323,1.2300556328817673e-09,0.014993496867485561,0.011759302005296951,0.008817103603341498,0.12345533157748588,9.058310687346297e-15,0.010878412587898725,0.023517586582411033,5.957003637566832e-05,0.0005736710548948146,0.10750476860096791,0.00019464662669156106,0.06967256667882918,0.0003003687483138143,0.03511048134799946,0.05140907908825,0.0449457058225213,0.07670707605028951,0.14989548698159164,0.00014373150884650708,0.0009309027458472508,0.02505990135853915,0.00040006638756263485,0.009995501753928398,1.66855141785388e-07,1.6432640496714735e-08,0.011279645122257029,0.02295360148990064,0.004047158429448762,0.07718569291141668,0.01928399665336978,4.588229962352412e-18,0.011167889809905969,0.019014600709907587,0.005637334118634729,3.758329661010581e-13,2.9629352747976207e-47,0.002297942413193412,0.005207466227341122,1.2504101603849416e-23,6.056267409910651e-87,2.2990299987789492e-113,6.287751095418135e-103,0.004554017689981204,1.4645554688927052e-79,0.0,1.0067102758890693e-72,2.0506524169404787e-95,6.0202185547e-313,4.879378729016364e-80,1.860928178487956e-132,0.0015180058966604013,1.0567628192263632e-64,0.0015180058966604013
