,S_0,S_1,S_2,S_3,S_4,S_5,S_6
S_0,1.3710811267843623e-18,9.965791488213183e-31,0.9863836793648665,0.012210798183311241,0.0014055224518223486,5.095792671500274e-22,4.739110854687205e-19
S_1,7.816044185719338e-06,2.6040497190162e-11,1.9561225772768142e-32,0.0,5e-324,0.8430385065569735,0.15695367737280017
S_2,0.9865286625259008,2.900105626617353e-32,1.900860067105867e-12,2.874839477144015e-06,4.821255885318245e-09,1.7025131351160675e-14,0.01346845781144838
S_3,0.00022895572185617326,8.296711888856162e-77,0.004629771842941108,0.9927513740441883,0.0005927056187720322,3.005144929354144e-64,0.0017971927722423133
S_4,7.440083295488342e-07,7.959362813964492e-100,0.035094414567669915,3.8053085634782294e-73,0.9649048414240006,5.3231619386488e-112,6.256037370842505e-61
S_5,1.9646365289594514e-25,0.9545097157995373,0.0454869032267542,2.170506e-317,2.0336615049619245e-271,1.4348572545408391e-12,3.3809722737624813e-06
S_6,1.2248219363035217e-23,1.1566948913591387e-15,1.125480884550505e-26,1.9520432507227357e-219,1.8441683343015345e-203,0.9999999999999988,5.980375054247606e-37
