,S_0,S_1,S_2,S_3,S_4
S_0,0.0,164.02643094913415,341.7590364823096,284.2599976542195,241.35637226668157
S_1,164.02643094913415,0.0,303.58949840821793,353.91443251068426,249.68873177229054
S_2,341.7590364823096,303.58949840821793,0.0,492.37887962167395,244.0033461364771
S_3,284.2599976542195,353.91443251068426,492.37887962167395,0.0,450.5837545641574
S_4,241.3563722666816,249.68873177229062,244.00334613647718,450.5837545641575,0.0
