,O_0,O_1,O_2,O_3,O_4,O_5,O_6,O_7,O_8,O_9,O_10,O_11,O_12
S_0,0.0,0.0,0.0,0.00023908288643417308,0.0007170157086182203,0.002629547579496505,0.039919095991564936,0.9137029368715579,0.039923562295148506,0.0021515687557158284,0.0007171899114639204,0.0,0.0
S_1,0.0,0.0,0.0,8.128409900991383e-06,0.0027124686909539434,0.004291687322644951,0.09074121246895628,0.8602227583054415,0.03920327933607566,0.0021181724031714634,0.0007022930628551393,0.0,0.0
