,O_0,O_1,O_2,O_3,O_4,O_5,O_6,O_7,O_8,O_9,O_10,O_11,O_12,O_13,O_14,O_15,O_16,O_17,O_18,O_19,O_20,O_21,O_22,O_23,O_24,O_25,O_26,O_27,O_28,O_29,O_30,O_31,O_32,O_33,O_34,O_35,O_36,O_37,O_38,O_39,O_40,O_41,O_42,O_43,O_44,O_45,O_46,O_47,O_48,O_49,O_50,O_51,O_52,O_53,O_54,O_55,O_56,O_57,O_58,O_59,O_60,O_61,O_62,O_63,O_64,O_65,O_66,O_67,O_68,O_69,O_70,O_71,O_72,O_73,O_74,O_75,O_76,O_77,O_78,O_79,O_80,O_81,O_82,O_83,O_84,O_85,O_86,O_87,O_88,O_89,O_90,O_91
S_0,0.0,0.0,0.0,0.0,0.0,0.0,5.785633135542631e-205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.470149485978535e-125,0.0,1.6531384673807182e-159,0.00010664148578130559,0.00022876332413226532,0.00021923164045835745,8.180429471808817e-86,1.6189288092523583e-25,5.346411956326002e-35,0.002033118121287167,0.001077272354202302,0.005399528190394135,0.0077575405885882,0.0160057394111676,0.019035088017730697,0.027719071925727614,0.030602159971691082,0.05387114706817307,0.054120413929127364,0.07331309494727584,0.08192930105166449,0.09989028664828421,0.06317541086544906,0.11600635591734325,0.06626796926987384,0.06727810015224563,0.052485325438593806,0.05722172129955068,0.03385154939783598,0.02142693785199912,0.019423345438313425,0.011302508811356122,0.008785947899028208,0.005001854166736866,0.0017195995693809827,0.001872210368718761,0.0006549823224107596,4.882600484523718e-21,0.00010883950450868362,5.96613581346883e-65,0.00010894305096910623,0.0,1.0782726946558203e-188,0.0,1.6575563291625243e-111,6.937631030245276e-238,0.0,2.5620834859708588e-253,9.827081203e-315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.138874828322378e-263,0.0,0.0,0.0,2.544911953329579e-158,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S_1,7.388106547139715e-266,7.107051762777376e-56,5.712058328642296e-137,0.0,0.0,3.4416714861627843e-115,1.1886832479384482e-67,0.0,0.001018179731326085,3.2779052911955645e-181,0.0006787864875507233,9.028089880281948e-22,0.0,0.0,3.533304400952035e-116,1.0214469144377269e-171,5.463494721469328e-153,1.090554917349089e-41,0.0003065801913656471,0.0006731101980105461,0.00230595250157727,1.517339369160117e-15,0.0058674471503761755,0.004323396631615202,0.004703757262436388,0.0007541109577355557,0.008007343472807,0.001197705851946207,0.006433879000342355,0.015349274209434216,0.027216257166133885,0.020434910697776792,0.01650253892066138,0.03969454805231172,0.03806700442525151,0.043518546770372785,0.028354492388823087,0.04901153696822856,0.038779133105469446,0.04646541460320964,0.04268621400916121,0.0622518854086256,0.027072353887756216,0.07627667079494059,0.04111703855887438,0.030518019729758757,0.05267046803917533,0.061388164926781175,0.026509033764659497,0.035558519193233336,0.02905245085466117,0.022759789299388978,0.0184757547176039,0.015794276729930678,0.009811733249519524,0.012142800859889311,0.00463436479211271,0.006207505746580735,0.001983572061719613,0.004061230340015565,0.0006724351943798275,0.0015913625922628807,0.002824908665770392,0.0036515707616546008,0.003222667520024446,0.00039652620493874525,5.397176494081374e-26,0.0019386466278705089,1.0441254848243444e-77,0.0011211665944939944,0.0011348006368516893,0.00033939324377536167,0.001018179731326085,1.932222480882892e-113,1.0738763688014737e-264,0.00033877349054870973,5.173412646268154e-92,3.0786172639467095e-67,0.00033939324377536167,3.2440967943970836e-198,0.0004350285394000967,1.1805776937588806e-141,0.00033939324377536167,1.1314548457973398e-96,1.2978692659517337e-50,4.98708273e-315,1.5241257821336565e-120,4.817781953087298e-240,5.806771143479682e-144,5.562714104405321e-136,0.0,2.5542418093548974e-195
S_2,0.0,0.0,0.00010611078531883179,0.0,0.0,0.0,1.4396957451005274e-188,0.0,1.146824456539562e-220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.923663e-318,0.0,5.016922488338681e-166,0.0,2.526177843359908e-144,0.0,2.1843447498747827e-07,4.656888490790681e-08,0.00021649684232805772,0.00014640500293964829,0.001994849817476895,3.729818170305763e-06,0.0028779153951443526,0.004153589310397946,0.008979904835175766,0.01000871605238176,0.01774827533207402,0.019492867885169265,0.04061188588191292,0.055438980287321686,0.05314436644121642,0.0748654509310194,0.06434996974447207,0.10031007063209194,0.07104567099869089,0.10900632479092265,0.07276129199840185,0.08349105986927134,0.05234804059634374,0.04909075461803005,0.035923710070932105,0.02559900147312816,0.019710101509270304,0.009443041080361002,0.004405486248930546,0.004026596559859782,0.003517820939695749,0.0011153388103533116,0.002483554273038084,0.00045020460258541836,0.0006740023124054873,1.8541340857563102e-224,2.0040516218190855e-171,1.3696571509032061e-61,0.00012839802772534893,3.160489847124516e-271,0.0002234466718526896,1.104445603587756e-205,0.0,0.0,9.733173899944594e-296,1.671939620993806e-229,0.0,0.0,5.132087505082223e-243,0.0,0.00010611078531883179,1.93764911432344e-07,0.0,0.0,0.0,3.0773366797848935e-179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9677878e-315,3.1806312587005743e-69,0.0,0.0,0.0,0.0,0.0,4.229747653771923e-273,2.4165e-320,1.3195265993751223e-82,1.7847234368923234e-162,1.6482042330769567e-53,7.722503641506352e-05,0.0007156873501782796,0.0007925367202977095,0.0022635336859398872,0.00585735463498902,0.01374906883753103,0.02964858508142311,0.045290321670365855,0.0808317469612348,0.07816410091322305,0.1814805980738587,0.10559356986016935,0.18560589442502248,0.08127486454161159,0.0832473776454307,0.04996307904700032,0.029585111247756445,0.013535831910964842,0.007163480149906673,0.0029355924792786826,0.001450611093639941,0.0006893144426657707,2.6974318378899653e-05,5.180625392678967e-64,1.4676427284041495e-96,5.753987271779072e-05,5e-324,0.0,0.0,0.0,0.0,0.0,0.0,6.412119293156767e-180,0.0,0.0,0.0,1.3473982797800008e-290,5.6830033279376766e-288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7379214621851856e-308,0.0
S_4,0.0,6.607312351804965e-137,1.5549797132935402e-307,0.0,0.008154283730621999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016308567461243997,0.0,0.008294988920679897,0.0,0.0,0.0,1.238245655783614e-227,2.887096898890636e-56,0.045078380184397054,0.010106576999897423,0.016484948791686733,0.015699812181479034,0.024383928866889223,4.484544707568933e-188,0.035519643725967005,0.017518727359775874,1.9972246337845897e-162,9.708793806795709e-215,9.344437183254277e-207,0.008353937801604157,0.014826133153138675,0.02709754246141035,0.05892591409549552,0.008844132823565148,8.178041368065902e-167,0.06092842255051176,0.06225812169135371,5.277858432063273e-180,0.021236792339717547,0.037000545444644616,0.015236406558620475,1.4743356596624439e-142,4.127943023203257e-222,0.026966131752481977,0.08629683388797267,0.021708778142815438,0.014530747171882344,0.036448591916989695,0.03918848046108883,0.046247314855310105,0.05895894970970603,0.04069631484272342,0.02548368852256961,0.008392018637017898,0.025650521397395574,1.1847530903559372e-158,3.4190363381234256e-196,0.00848099633404947,0.0,0.01661349465645894,0.0,0.0,0.008165402786158757,0.0,1.6436990950380707e-256,0.008144596018203765,0.015769331764475265,0.0,0.0,1.5877938553763994e-211,0.0,0.0,0.0,0.0,0.0,0.0,9.270649631312014e-294,1.1110539850055662e-257,0.0,0.0,0.0,3.02534015566858e-309,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S_5,0.00032187973584816166,7.359191591697592e-282,2.1513901978921754e-58,0.00032187973584816166,0.0,0.00032191751048815567,1.66026856936349e-138,0.00032187973584816166,8.211429543290746e-48,0.0006437594716963233,2.3119813322531644e-184,0.0006437594716963233,0.00032187973584816166,0.0,0.000965639207544485,0.001281964789173596,0.000965639207544485,0.00193127841508897,2.0345361456080655e-33,0.002258541530277791,1.0500241292356519e-24,3.1497550595522375e-40,0.001439617192270334,0.0013670973529736007,0.00324587923544759,0.00828739512070388,0.00816499303058576,0.009421489089100718,0.013496033681451964,0.012816149488617838,0.014375434728245255,0.01806397400672546,0.021804807662032265,0.012516718555599804,0.030188277537775088,0.03876696710299289,0.03690030077453778,0.03274010239561208,0.0323911648002075,0.0470147820670112,0.04174484780917684,0.06873181052577067,0.0354391710357262,0.07309497712663512,0.03664753634079019,0.05131556125113725,0.035739750925529806,0.03452776033041906,0.05079293831630851,0.027956293480848604,0.035179714989789786,0.03186319955442979,0.02905076114626171,0.023519150330851363,0.017055691172915256,0.010387684224163501,0.009952929649935462,0.010187403437675555,0.007684652293303814,1.4961977024335145e-07,0.004992887702122015,0.003318951583887938,0.0014256565697989777,1.4540180771800931e-10,9.16503208454219e-73,0.0009110155343948249,0.000965639207544485,0.000736429785284872,2.761230122396381e-55,0.0009918959388298752,5.783580039332078e-151,0.0,1.0783613210401e-143,0.000965639207544485,0.0,3.686369588426562e-189,1.9085522329209235e-117,4.524443889105753e-194,5.357044297607396e-202,0.0006437594716963233,0.00023117945156567385,2.3955971710916587e-233,0.0,0.00032187973584816166,8.017863996617981e-167,2.721980699653933e-268,3.4094774252821255e-252,0.0,2.7895986578017544e-119,0.00032187973584816166,0.0,0.0
S_6,1.112319017856338e-216,0.002765726540351122,6.90760622569046e-48,0.0,0.0,0.002765401964707642,0.011062906161404488,1.1420170200017955e-51,6.250620068418657e-73,1.3552969826422498e-305,0.0,5.79633700839317e-79,0.0,2.2183297417089093e-245,1.2117846600574931e-34,2.7139013253541737e-64,1.7325655196011696e-46,9.102429157589292e-50,0.01409602732907441,3.9100356713978145e-27,0.008865983752047016,0.026196453122602947,6.986987490975926e-38,3.0659094451358463e-66,3.759968851954762e-51,1.380058430357954e-16,2.1472691320399926e-32,0.03724088612303046,0.005990814636041625,9.378335124223953e-13,1.88625158462571e-09,1.730361939624145e-10,4.5634569785994965e-15,1.0295872145966211e-13,0.00011524745632901683,4.4656181660217395e-07,0.10468760725611043,0.06352432065857348,0.09832452015865918,0.04955870372146232,0.04392157127165258,9.438155152700504e-06,0.0742847092667069,8.789337665142183e-06,0.04045406480382507,0.08102524157317033,0.0005144471135451136,0.00014230213463608138,4.223840670509322e-13,2.9615791254688405e-06,0.0325900112048019,0.022338598772948637,8.40717024184096e-09,0.04486076189428324,0.055189531847655196,0.019052486064903333,0.010914098354841048,0.004623856943312032,0.016363070033413443,0.03881250682243653,0.01508160779008152,1.4687664509770231e-53,1.0252724159551036e-94,0.02002630802412545,0.003868793044455858,1.4999453701814485e-73,2.8615215269852845e-70,2.610679657857075e-09,0.01106619198811916,0.004649495971602208,0.0018153790025113438,0.0,7.860980647320765e-25,1.3688417125827873e-35,0.0,8.82278890654181e-140,0.005531453080702244,0.005531453080702244,3.3498701069214666e-41,3.8324739444954567e-149,2.2025591375311669e-41,0.002765726540351122,0.0,5.3965165704860565e-194,0.002765726540351122,0.002765726540351122,0.002765726540351122,0.002765726540351122,0.002765726540351122,4.61356182215912e-117,0.002765726540351122,0.002765726540351122
