,S_0,S_1,S_2,S_3,S_4,S_5,S_6
S_0,2.3121848685763752e-08,2.061302239300494e-28,0.990336353996127,0.0017705711452063212,0.00789305173618623,6.31786124082917e-13,8.127972567922077e-81
S_1,4.582767981582411e-12,1.244677155596032e-26,1.2412332341508284e-16,3.503551942605682e-151,5.182065591740089e-162,0.9999999999954171,2.267740463586224e-46
S_2,0.9802007193899414,1.4021853438818606e-09,0.014379962883656344,0.005411758492073406,7.557832143514478e-06,4.865234795871237e-18,4.211950282487618e-95
S_3,1.0478768677750892e-157,1.9475743761105537e-129,1.5587615860455052e-162,0.9559720100362064,0.04402798996379368,5.1607798596688375e-115,1.3346670882006256e-301
S_4,2.511944611099635e-90,0.0006474644280459757,2.6440058011758246e-90,0.008332565741205259,0.9811253716579402,0.009894598172808564,1.9351385574828356e-245
S_5,2.195739544796488e-14,0.9571450596849524,0.008120533974435797,7.081730500815097e-85,1.0606895361712119e-133,2.2359743021652024e-24,0.034734406340589837
S_6,4.61781270494054e-29,0.45637091398818525,0.29089466298482564,0.0,1.567209921712619e-208,8.597444495328407e-37,0.252734423026989
