,S_0,S_1,S_2,S_3,S_4,S_5,S_6
S_0,0.005404885770762574,0.24203170699207593,3.778303960723734e-07,0.012243618188754123,0.7174829724783756,0.022835847745750457,5.909938852080929e-07
S_1,5.5028633642564455e-11,4.2874897850742605e-10,4.1283396134898904e-08,0.9791152607953405,7.276008142658018e-06,3.518657706947551e-18,0.020877421429343006
S_2,1.4230576991946314e-07,0.0013857528308771029,0.0024042653274558177,9.072716287223353e-20,2.533792299291445e-08,0.9962096513667298,1.628312443764452e-07
S_3,0.9198653300764927,0.0005110485820202205,1.73804005577774e-05,0.07624782339657254,0.00041097866214317384,0.000854140878102418,0.0020932980041112213
S_4,4.912225748126249e-07,0.00019513217856314367,1.0056786825352067e-09,0.16649510697931744,0.8300761729632743,2.040370246656193e-05,0.0032126919481252005
S_5,5.213466054803499e-07,0.014780466897901266,0.9719161311656506,3.5483171536558e-05,1.790689145625772e-05,0.0011738184671918562,0.01207567205965801
S_6,0.0,0.0,0.029331622070937216,0.0,0.0,3.813756593243299e-07,0.9706679965534034
