lag,acf,lower,upper
1,0.1300134290158541,0.12041889474039523,0.139607963291313
2,0.13445178992552653,0.12469642254146006,0.144207157309593
3,0.12071322264586362,0.1107887375357232,0.13063770775600403
4,0.11339220448550848,0.1033334670070605,0.12345094196395645
5,0.1114470040182231,0.10127127554236035,0.12162273249408587
6,0.10539137935623621,0.09510390257944439,0.11567885613302804
7,0.13331032648821606,0.12292393379017823,0.1436967191862539
8,0.11510517097145899,0.10456244392271126,0.12564789802020673
9,0.11433507396485383,0.10367728778581829,0.12499286014388937
10,0.13097781544071063,0.12020770921118197,0.1417479216702393
11,0.11144267177683731,0.100526920181029,0.12235842337264562
12,0.10219479887672711,0.09117480869792177,0.11321478905553245
13,0.1077934535677334,0.0966865643026615,0.1189003428328053
14,0.10041209140469026,0.08920931299055672,0.1116148698188238
15,0.08993351966876442,0.0786481950715229,0.10121884426600594
16,0.09948069823698008,0.08812959074225438,0.11083180573170578
17,0.10494305915597145,0.09351197561073944,0.11637414270120346
18,0.09159776507386047,0.08007833432434251,0.10311719582337843
19,0.08658702391244799,0.07500073905103587,0.09817330877386012
20,0.08823361550170712,0.0765879155033472,0.09987931550006704
21,0.09235003716795888,0.08064295992226508,0.10405711441365267
22,0.0911153701857696,0.07934142239081114,0.10288931798072805
23,0.07247204817825627,0.06063336871955001,0.08431072763696253
24,0.08067909868245118,0.06879964943676217,0.0925585479281402
25,0.06818922936546036,0.05625944692610695,0.08011901180481376
26,0.0606994278046986,0.04873381962093301,0.07266503598846419
27,0.07466698565482283,0.06267306559003864,0.08666090571960701
28,0.07518686846474812,0.0631502343015729,0.08722350262792333
29,0.06561911151925132,0.05353932059371446,0.07769890244478818
30,0.061737263690546336,0.049624703974193066,0.0738498234068996
31,0.07889781081512562,0.06675631844694513,0.09103930318330611
32,0.06205161908986444,0.04986302204860239,0.07424021613112648
33,0.05555084270385983,0.04333319987525115,0.0677684855324685
34,0.05885459478632675,0.046613723037716034,0.07109546653493747
35,0.06639524468570854,0.054128351287111715,0.07866213808430536
36,0.054669095148166154,0.04236916458773942,0.06696902570859288
37,0.06658055495293158,0.054258276603996194,0.07890283330186697
38,0.04817937914650465,0.03582402813368225,0.06053473015932705
39,0.047578072453374844,0.035205438745469615,0.05995070616128007
40,0.04970589928363824,0.0373164348036746,0.062095363763601884
41,0.05146896384813836,0.039061155549680295,0.06387677214659643
42,0.05103470114434942,0.03860725472067191,0.06346214756802694
43,0.050767426982859194,0.0383207026321031,0.0632141513336153
44,0.04883958924209759,0.03637381770376842,0.061305360780426754
45,0.04850980074628139,0.03602642704135342,0.06099317445120936
46,0.04851298991602626,0.03601227524588223,0.061013704586170295
47,0.043649969275622064,0.031131935386884274,0.05616800316435985
48,0.053482745318467195,0.04095070792599062,0.06601478271094377
49,0.041399853394065315,0.028846822258172013,0.05395288452995862
50,0.04816633491978624,0.035600741183677606,0.06073192865589487
51,0.04434244699509295,0.03175986853201841,0.056925025458167494
52,0.043677959883905174,0.031081004382969915,0.05627491538484043
53,0.03907609090741311,0.026465201696446346,0.051686980118379876
54,0.04732850267541393,0.034706472250579955,0.0599505331002479
55,0.03965945066022689,0.02702109410264608,0.052297807217807704
56,0.0325635906012198,0.019913782767814373,0.04521339843462523
57,0.033543391890400044,0.020885869765635823,0.04620091401516427
58,0.04470676345131219,0.032041060960490135,0.05737246594213425
59,0.03706274511416783,0.024382524310942802,0.049742965917392856
60,0.03643089114082351,0.02374070193722011,0.049121080344426915
61,0.03131279173646311,0.018612978554434882,0.04401260491849134
62,0.03581660998711988,0.023109691666167366,0.04852352830807239
63,0.03930343896646004,0.026587230601162207,0.05201964733175787
64,0.03446786695751221,0.021740480686837732,0.047195253228186684
65,0.033879387608723784,0.021143411383692523,0.046615363833755044
66,0.04046504358765019,0.027720773720749867,0.053209313454550516
67,0.04539220971132003,0.03263611783021906,0.05814830159242101
68,0.028495331381412397,0.015724378778390564,0.04126628398443423
69,0.036518304461153,0.02374150028760287,0.04929510863470313
70,0.03157205957733731,0.01878565070910718,0.04435846844556744
71,0.035780130392899664,0.022986547163858007,0.04857371362194132
72,0.023086995801860223,0.0102842041941646,0.03588978740955585
73,0.03005290265908702,0.017246279161852805,0.042859526156321236
74,0.03423199854321618,0.02141888457866468,0.047045112507767675
75,0.027514427054247163,0.014692896909788044,0.04033595719870628
76,0.038384126403875556,0.025557162043850588,0.05121109076390053
77,0.029314807542355388,0.016477273830871768,0.04215234125383901
78,0.03096393665530103,0.018120242158185945,0.043807631152416114
79,0.026458917509116588,0.013608353054714023,0.039309481963519154
80,0.025251257668718687,0.012395679206347212,0.038106836131090165
81,0.026550646588559622,0.013690503080815448,0.0394107900963038
