Stock,Mean,Stdev,Skewness,Kurtosis,JB Stat,JB p-value
UnitedHealth Group Inc,8.05148029424556e-06,0.0007650999244089849,0.17304071586579087,6.985208172551886,27822.88030190692,0.0
Johnson & Johnson,2.2590163517070802e-06,0.000589389285132635,0.21058040457600624,11.408728511311196,123249.71427663477,0.0
Walmart Inc,-1.3588461770503257e-06,0.0006671327679687259,0.09779168162331416,8.855994059860077,59692.88590000457,0.0
Verizon Communications Inc,-1.3301537080931478e-07,0.0006044728170118364,-1.1095942036638122,48.3302103491897,3581395.1244715024,0.0
McDonald's Corp,-2.35139843791985e-06,0.000594298409633884,-0.011337795373759894,7.490847373218234,35067.50002241499,0.0
Nextera Energy Inc,-2.4642489989993775e-06,0.0007900566781380114,0.1686363435941845,9.071750510612814,64298.81351994058,0.0
Duke Energy Corp,-6.902833695818189e-07,0.0006511028757544581,0.0358489922867155,15.239098047213997,260465.9003749254,0.0
Southern Co,-1.100872906327831e-06,0.0006846998556718937,0.08148354669149002,13.040795941676711,175342.75088692605,0.0
Dominion Energy Inc,4.838950453018126e-08,0.0006724812414129525,0.12675311241993117,12.933492720448566,171681.64169904118,0.0
Consolidated Edison Inc,2.5417459350140887e-06,0.0007450423086992553,0.3014370505336992,13.2976350446992,185011.24983939616,0.0
