,O_0,O_1,O_2,O_3,O_4,O_5,O_6,O_7,O_8,O_9,O_10,O_11,O_12,O_13,O_14,O_15,O_16,O_17,O_18,O_19,O_20,O_21,O_22,O_23,O_24,O_25,O_26,O_27,O_28,O_29,O_30,O_31,O_32,O_33,O_34,O_35,O_36,O_37,O_38,O_39,O_40,O_41,O_42,O_43,O_44,O_45,O_46,O_47,O_48,O_49,O_50,O_51,O_52,O_53,O_54,O_55,O_56,O_57,O_58,O_59,O_60,O_61,O_62,O_63,O_64,O_65,O_66,O_67,O_68,O_69,O_70,O_71,O_72,O_73,O_74,O_75
S_0,0.0,0.0,0.0,0.0,0.0,0.00019566937205152122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.793599402897e-312,5.148574813465106e-221,0.0,6.5567187645180425e-186,6.51110396235469e-56,0.0012283573988351951,0.0005853203291912979,0.005470233107900239,0.009499162577156568,0.01473448143179377,0.014563218859630042,0.030683515495374254,0.025660770649501993,0.04023733633034116,0.04206032503271435,0.05054435421620021,0.06322453248885637,0.07939322426350176,0.07811603934676252,0.07659630333980225,0.07368874582917152,0.07935844714591445,0.06489836649278277,0.05795120420690532,0.05071142767020214,0.0378945378497143,0.0321004412236195,0.02433021006158543,0.011537961754469361,0.012196103771576735,0.012729414548947616,0.0024820328755227813,0.0004219828502362847,0.002560300749855321,0.0022291644764793647,0.0012785274318733823,0.0008382868215301497,0.0,0.0,1.4681768088849754e-118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S_1,0.0,0.0,0.00038594099299704877,0.00035574809041207076,0.0007114961808241415,0.0,0.0,0.0010578447631064715,0.0,1.7207889789744785e-205,0.0007114961808241415,0.0,0.001155622029047443,0.003938299647932671,0.0,0.0033754217620447884,0.006869958981072151,0.008455150896926689,0.0054078751922158295,0.009254966064921554,0.016616605035059746,0.00909353295835021,0.006269249110860062,0.015421029299432207,0.017196317913283982,0.019648187989609333,0.024693094027662635,0.04407122842736362,0.03379079617119409,0.047946891515918647,0.04246707906421407,0.05110035199767003,0.06316799090245123,0.04889714139392436,0.06460093470299104,0.042868673916832835,0.05937719570576797,0.03464836073773699,0.046379973285602845,0.027374992620030396,0.026879280947025953,0.029007200876688698,0.03668686961917724,0.018201238405418808,0.017693701273436023,0.021017225342383223,0.02130743662935036,0.004093846436695925,0.010160696817394973,0.011600301858859526,0.006933538282856435,0.007280825959699101,0.006719649245294718,0.005561465679154826,0.0,0.00462472517535692,0.0030765190627429343,0.0054479577711805,0.0,0.0,0.0024902366328844955,0.0010672442712362123,0.00034690195881281223,0.00035574809041207076,0.0003649130084799037,0.0003500367355288098,0.0,0.0,0.00035574809041207076,9.16651794889117e-169,0.0,0.00035574809041207076,0.00035574809041207076,0.0,0.0,0.00035574809041207076
S_2,0.0,0.0,0.0,0.0,0.0,1.777517034318864e-246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010067046940046153,0.0007856997730475327,0.0,0.0028861974168866694,0.004809911941631302,0.005388398469878706,0.004317069271335095,0.007539193554807395,0.01167512606754471,0.020067035596450462,0.018752732279231663,0.025872213190558754,0.042047214227089964,0.05364096603754256,0.05869173691898661,0.06667099271772811,0.06914018144620691,0.09214246803013032,0.06182287659794809,0.07267391726714521,0.07384722935140116,0.06379170412592104,0.04292205508275613,0.04426446683723856,0.036417352763692165,0.03629906082717908,0.026181556780217587,0.018365990542365773,0.01084460379307622,0.006666804793113246,0.010612468313132641,0.006669380571501726,0.0029969085740572817,1.3171419393357667e-06,3.68012504e-316,5.611994452858302e-203,1.1878477873561375e-177,0.0,0.0,0.0,0.0,1.7198701818333444e-254,0.0,0.0,0.0,0.0,0.0,0.0,0.00018846500425323784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003224155668141647,0.0,0.000715328067101842,0.0015098154447043487,0.0018226813747871343,0.004098168532135114,0.006662285652453584,0.010788080388313673,0.020952595664901378,0.02900648502406534,0.040035284545506374,0.056729009711586426,0.07962236613763277,0.08514478527296201,0.09863459579036656,0.10733524442160289,0.10205533093833703,0.0986880396694952,0.07800518074943273,0.06016802025165879,0.04259692224520709,0.030880208561392675,0.017244427612510792,0.012747353359991364,0.007888136825676715,0.004919800748877097,0.0014274374424868683,5.33246372864359e-62,1.198762051036238e-277,1.9872411758832164e-121,0.0,2.1549422543537903e-218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1001744960084945e-85,0.0,8.858530223915466e-05,9.128535510299623e-57,0.00020222064924154244,1.5217533685101901e-18,0.0009754335774543521,0.0019966951349309208,0.004970025894503968,0.012141702436132199,0.02666206425792796,0.040272257260932795,0.07339076658442473,0.1136216302365958,0.1495088114991396,0.1474619706648908,0.151716922484672,0.11136884814112094,0.07565628078368553,0.043536226906760386,0.02535664485646563,0.013167384703842634,0.0051277837702843505,0.002115225260805453,2.0495102035006496e-23,0.00044463364100715,1.0569824454547632e-50,9.963678583946871e-05,0.0,0.00011824916710252939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S_5,0.00033508405249209545,0.00033508405249209545,3.020477407159227e-36,0.0,0.0,1.7603370310648591e-208,0.0006701681049841909,4.20567883533167e-127,0.0010052521574762864,0.0013403362099683818,0.0,0.0016754202624604773,0.0019272600810806768,2.81887006340342e-189,0.00466649646317519,0.004527576709334952,0.0045185111781323685,0.008769557624224262,0.004104462559759761,0.011489202980424619,0.0026796545050874264,0.02113095971249841,0.016219857230656227,0.024795693107634884,0.02498698422408288,0.022691055017013694,0.03251897706121942,0.032670593490061586,0.033741975347450784,0.03898365227919781,0.03529440179451481,0.035246383875959755,0.04208818952113793,0.04825786193710762,0.055612446653188485,0.049698663884548945,0.04846828309246881,0.05482205892420419,0.05902502898072824,0.04010610018055325,0.04606523203809786,0.02642222711125803,0.018115528646289174,0.02950974417995697,0.02154524919058646,0.0129621301757803,0.008144007415647712,0.01763232073220134,0.010929746282574588,0.012258120002587655,0.006693590816326856,0.003673654536928288,0.0008597671718874224,0.005484268145546974,0.004021008629905146,1.136705978592538e-84,0.0023244364749827277,0.0012350901334328493,0.0023455883674446685,0.0026806724199367636,5.886144297915247e-165,0.0,0.0010135844065965853,0.0,0.0,0.00034046365674278114,0.00033508405249209545,0.00033508405249209545,0.0,0.0,0.0,1.4620702013485788e-150,0.0,0.00033508405249209545,0.00033508405249209545,0.0
S_6,0.0,0.0,0.0028633167994528206,0.0,0.0,0.0,0.0,0.009469276902139818,2.5586703892379195e-254,0.0,1.8439491649584017e-229,0.0,0.0,0.01229497443498829,0.019003666674631842,6.484771546493029e-200,6.665331964894775e-105,1.2309799733850347e-45,0.04552356775273345,7.47898854610407e-40,0.025507766645433288,5.960166876928742e-112,0.06986132223618857,8.468984420175876e-31,0.030392914937762056,0.05918467198828443,0.03422842456269529,2.887872661441878e-43,0.027608895029122636,5.483999635038602e-10,0.09837418745741913,0.052286766509453755,6.885339420633826e-41,0.0030740227986062172,5.98854531945585e-17,0.09381595692078543,0.010900729479621995,1.5226805238021738e-11,5.179547469665484e-49,0.13300535290286872,2.2517217110603567e-53,0.05152010920389433,8.139197431935517e-82,0.02185262864816444,6.253345511750198e-06,0.020552572039993312,0.022555218772543458,0.06958248713005456,2.0061137406345912e-140,0.029443498873986052,9.655848756957427e-238,0.016539754023720068,0.032995140508583716,0.0,0.0,2.157715824247621e-299,0.001298784755457157,3.4864835084763098e-112,8.507658155004578e-97,0.0,0.0,9.515934166110708e-190,4.1765924683927557e-10,0.0,0.0,0.0,5e-324,0.0,0.0,0.0031288688423087426,0.0031288688423087426,0.0,0.0,2.7521013777422104e-19,0.0,1.8704867333347841e-187
