,S_0,S_1,S_2,S_3,S_4
S_0,0.0,276.34508244148253,348.35405248108833,326.6481129930545,267.4069343115131
S_1,276.34508244148253,0.0,346.84361306479354,343.5242708902524,284.583517310091
S_2,348.3540524810883,346.84361306479354,0.0,315.6949978824808,375.41408208632544
S_3,326.6481129930545,343.5242708902524,315.69499788248083,0.0,376.8968741054342
S_4,267.40693431151306,284.58351731009094,375.41408208632544,376.8968741054342,0.0
