,O_0,O_1,O_2,O_3,O_4,O_5,O_6,O_7,O_8,O_9,O_10,O_11,O_12,O_13,O_14,O_15,O_16,O_17,O_18,O_19,O_20,O_21,O_22,O_23,O_24,O_25,O_26,O_27,O_28,O_29,O_30,O_31,O_32,O_33,O_34,O_35,O_36,O_37,O_38,O_39,O_40,O_41,O_42,O_43,O_44,O_45,O_46,O_47,O_48,O_49,O_50,O_51,O_52,O_53,O_54,O_55,O_56,O_57,O_58,O_59,O_60,O_61,O_62,O_63,O_64,O_65,O_66,O_67,O_68,O_69,O_70,O_71,O_72,O_73,O_74,O_75,O_76,O_77,O_78,O_79,O_80,O_81,O_82,O_83,O_84,O_85,O_86,O_87,O_88,O_89,O_90,O_91,O_92,O_93,O_94,O_95,O_96,O_97,O_98,O_99,O_100,O_101,O_102,O_103,O_104,O_105,O_106,O_107,O_108,O_109,O_110,O_111,O_112,O_113,O_114,O_115,O_116,O_117,O_118,O_119,O_120,O_121,O_122,O_123,O_124,O_125,O_126,O_127,O_128,O_129,O_130,O_131,O_132,O_133,O_134,O_135,O_136,O_137,O_138,O_139,O_140,O_141,O_142,O_143,O_144,O_145,O_146,O_147,O_148,O_149,O_150,O_151,O_152,O_153,O_154,O_155,O_156,O_157,O_158,O_159,O_160,O_161,O_162,O_163,O_164,O_165,O_166,O_167,O_168,O_169,O_170,O_171,O_172,O_173,O_174,O_175,O_176,O_177,O_178,O_179,O_180,O_181,O_182,O_183,O_184,O_185,O_186,O_187,O_188,O_189,O_190,O_191,O_192,O_193,O_194,O_195,O_196,O_197,O_198,O_199,O_200,O_201,O_202,O_203,O_204,O_205,O_206,O_207,O_208,O_209,O_210,O_211,O_212,O_213,O_214,O_215,O_216,O_217,O_218,O_219,O_220,O_221,O_222,O_223,O_224,O_225,O_226,O_227,O_228,O_229,O_230,O_231,O_232,O_233,O_234,O_235,O_236,O_237,O_238,O_239,O_240,O_241,O_242,O_243,O_244,O_245,O_246,O_247,O_248,O_249,O_250,O_251,O_252,O_253,O_254,O_255,O_256,O_257,O_258,O_259,O_260,O_261,O_262,O_263,O_264,O_265,O_266,O_267,O_268,O_269,O_270,O_271,O_272,O_273,O_274,O_275,O_276,O_277,O_278,O_279,O_280,O_281,O_282,O_283,O_284,O_285,O_286,O_287,O_288,O_289,O_290,O_291,O_292,O_293,O_294,O_295,O_296
S_0,0.0,8.704181322679242e-155,0.0,0.0,3.3572526e-317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.106574156e-314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003515985804023452,0.0,0.0,0.0,0.0,0.0,0.0,7.939667307630546e-86,0.0,0.0,0.0,0.0,0.0,0.0,0.0003515985804023452,0.0,0.0,6.816906067600006e-235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003515985804023452,0.0,0.0,0.0,0.0,0.0,6.728296507568632e-290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6028901506185625e-105,0.0,0.0,4.222494179582237e-299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6128379607016928e-19,0.0,4.565137351247107e-141,0.0,0.0,7.311163547176022e-113,5.744318846162588e-215,0.00031876488509840047,0.0,0.0,0.00012529610410792473,0.0,0.0,0.0,1.7576967375466428e-212,1.1213523660505229e-108,0.0,0.0003515985804023452,2.192985646092724e-101,6.096017294969925e-88,0.0,4.253796526788377e-205,0.0007031971608046904,0.0011729404910268057,4.880703453950603e-246,0.00021878426423036325,0.0003358208438022415,7.152121336346138e-53,0.00037550711406205474,0.0003239133457723124,0.00051746606745539,4.7809689070142955e-76,0.00034549670924822904,0.00018024113614643469,9.131834785114015e-62,6.19514484545864e-155,0.0009928741964399619,0.0010384292789374814,2.474196317757512e-55,0.0015564706140673067,0.0006307988785345878,3.157883701627439e-20,0.005200983888045909,0.002476437540681456,0.0006987209274983976,0.004243540908445669,0.0031667026224210756,0.004285949751510584,0.004157041303662816,0.0055273419315959365,0.0068495919574924615,0.004609889931402278,0.005701462603391082,0.004925652945121923,0.013657566260989473,0.009532957169101599,0.02085068500414691,0.016697123823465117,0.01831624493452953,0.022448087778747072,0.019634442605109867,0.02036990867509582,0.02337733756567075,0.03195020856195,0.0316976808863589,0.0274160106898166,0.03174794281976733,0.03393584923234877,0.041180879677763835,0.03230985959826402,0.035874132633162775,0.03162252798048835,0.02893742012570954,0.03216386156225671,0.03205217065102492,0.03273807613943095,0.03062330673211531,0.022364727519440204,0.024655898459879085,0.022727491187412657,0.028021585302283908,0.026731821408290803,0.021920026281554813,0.020805290770980964,0.01464599880850768,0.017012998690460347,0.02098373841485357,0.018398582417281463,0.008110826222642089,0.01209471814982931,0.006753721623679156,0.0032679952447910664,0.008410591861604937,0.00589138667527259,0.006077240682087859,0.0026195260205981734,0.004252608064891425,0.0012833238486238048,0.0018505168272438257,0.0019204045874309148,0.0017038803484087136,0.001263313118752425,0.001872735301207392,0.0008604715003815909,0.0011074160884664154,0.001262981803212732,0.0007158356394131523,0.002013811425564541,5.768959546420802e-55,0.0003930401909526654,0.00024227692071519328,7.443605482048492e-50,0.0018436092518364505,0.0005013145469444193,3.5115591217257563e-82,0.00035231115511658376,2.871718759732434e-112,2.3937549359180246e-08,0.0006887882435010223,0.00034438998512399075,1.5098887389400551e-111,5.0209081128188576e-179,0.0,0.0,2.374319243232435e-145,2.8386922550552513e-157,0.0,0.0003515985804023452,0.0,2.388577898460387e-303,3.00827815154172e-246,4.910962487400603e-273,1.667550207281927e-117,1.5434232309329928e-89,0.0,1.1126900473293829e-111,0.0,2.8088389838959887e-197,4.103056490160779e-68,1.3550832476374794e-110,0.0,0.0,0.0,0.0,0.0,8.724978684601577e-189,0.0,2.8260319446386383e-143,0.0007031971608046904,0.0,0.0,0.0,0.0003515985804023452,9.373595595605277e-304,0.0,0.0,6.668082587587962e-14,0.0,0.0,0.0,1.854343393368853e-86,0.0,0.0,8.641846920302036e-30,1.888834659792375e-39,6.1446224791074786e-46,4.119598259871078e-282,0.0,0.0,0.0,0.0003515985804023452,0.0,0.0,0.0,0.0,0.0,6.5992794757251545e-127,1.045351850352344e-136,0.0,0.0,0.0,0.0,0.0,0.0,5.57343589531153e-299,3.8222848586601657e-289,0.0,0.0,0.0,0.0003515985804023452,0.0,0.0003515985804023452,0.0,0.0,0.0,0.0,0.0003515985804023452,0.0,0.0,0.0,0.0,0.0,0.0,9.07071406e-315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3003134108965726e-226,3.343611383136126e-76
S_1,0.0,0.003748120983884097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5338336534935816e-62,0.0,0.0,0.0,0.0,0.0,0.0,0.007496241967768194,0.0,0.0,0.003748120983884097,0.0,0.0,0.0,7.172754714629236e-162,0.0,0.0,0.003748120983884097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.252842690691974e-49,0.0,0.0,0.0,0.0,0.0,1.0317765253741584e-122,0.0,0.003748120983884097,0.0,0.0,0.0,1.4423867536e-313,0.0,0.003748120983884097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006554484349510362,0.0,2.568460435437472e-256,0.0,0.0,0.003747525953423738,6.302410216890968e-130,0.004157487826238802,0.0,0.0,0.008471579969871797,0.0,0.0,0.0,1.0711103587968616e-167,9.606287800715839e-116,0.0,6.9605245331644035e-93,0.014992483935536389,1.7547482137383786e-179,0.0,1.07194683008804e-170,1.3219116107177885e-125,7.076968551183698e-49,2.3790735363963146e-217,0.0047799826341991414,0.003916315251224739,3.1630972911884624e-22,0.022233855486584988,4.232396482638896e-36,2.2221717969628893e-124,0.003811303499586191,7.391248045674433e-25,0.00980252134484339,0.00882371668356791,0.008535408911929386,6.960211930031431e-16,0.005052577032617697,0.022382602333912097,1.1674420468955506e-76,2.361709896490422e-25,0.012900674501502816,1.1991900280061932e-79,0.0141097203355811,0.035991089345602995,1.0775985931880095e-21,0.004102272275950287,0.04317736494838344,0.016708876450796568,0.015453577701819259,0.015057467945250529,4.029791232225746e-17,0.004935391311307602,0.043561992744517164,0.007692614721202297,0.0021736561925508697,0.0033448819529017355,3.51535494255628e-16,1.0919150958914239e-08,9.620449099919065e-05,0.0348221734906787,0.002533085272502897,0.028687514112739437,0.02944164312139996,2.8957410787013654e-22,0.022824380802449883,2.1479388230356803e-36,0.0059682175273681505,0.029415625370174642,0.028029339251411517,0.017156004501673934,6.574550716249571e-27,5.705169332362193e-34,2.5699417182634825e-05,0.0003064623400366459,0.009482935610713268,0.021598256783386418,6.9779324546434945e-19,7.179557259075848e-08,0.02186241799744171,1.2741056155549028e-10,2.0636433286661894e-18,0.027704303602301143,0.03242506531702758,0.007925754991249022,0.007144370357544005,1.3860638058578958e-12,2.567958006795243e-07,0.009074449366666572,0.026447953809741444,0.0010631543712137346,1.3011713425846276e-34,0.033898900641152065,6.983093061791101e-56,1.4597319182403533e-56,0.005206274395675933,3.712729763671565e-94,0.04921054409333308,0.007284758446927178,0.02066807660068837,1.280221949519265e-22,7.476466212906125e-26,1.2678322255305818e-82,0.014103955486786097,0.010735484947940502,9.316706575997326e-15,0.008251953193600949,2.866198177861872e-19,0.004295876397865033,1.886509835440979e-67,0.038646603595720676,0.007232406040645873,9.346661478043387e-55,4.992432483288543e-45,1.356093410338535e-32,6.223671738747524e-109,2.17927182362733e-62,8.736082720220059e-100,9.528684855957603e-139,1.8939936155588275e-94,1.4868912277208636e-09,7.092615683482246e-118,0.0,0.0,5.4503334683634644e-48,2.8529587132024313e-81,0.0,4.7324088873752756e-116,0.0,0.007496241967768194,2.644105820974776e-219,7.983009208932595e-173,5.719033837418981e-241,0.0037625079140770567,0.0,0.0037480148941832062,0.003748120983884097,1.1672934342808993e-263,0.007496241967768194,2.0636489462590985e-11,0.0,0.0,0.003748120983884097,0.0,0.0,0.0,0.0,8.464205357713873e-121,6.410239186771509e-85,4.565390309227879e-27,0.0,0.0,1.470643913048195e-41,0.003748120983884097,0.0,0.0,6.609030779408826e-134,0.0,2.6150441477847926e-208,0.0,0.003748120983884097,0.0,0.0,0.003748120983884097,0.00748544498054734,0.003748120983884097,3.876483465443312e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003748120983884097,0.003748120983884097,0.0,0.0,0.0,0.0,0.0,0.0,9.905065089262966e-139,0.003748120983884097,1.4763154005967963e-110,0.0,0.0,6.135544214333549e-104,0.0,1.39939262907437e-76,0.0,0.0,0.0,0.0,6.6038612814445345e-84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.110724087017872e-131,0.0,0.0,0.0,0.0,1.3176227994869863e-264
S_2,0.0,6.044738542187621e-230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4221069634785057e-104,0.0,0.0,0.0,0.0,0.0,0.0,1.0196776084078917e-58,0.0,0.0,3.069402453982794e-47,0.0,0.0,0.0,3.743129120178371e-171,0.0,0.0,1.3540358102829045e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.248554939177415e-111,0.0,0.0,0.0,0.0,0.0,0.0014699941302055864,0.0,5.094357335778644e-258,0.0,0.0,0.0,2.270452375160413e-287,0.0,4.741343642641304e-63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018393467143084429,0.0,2.549339364531485e-176,0.0,0.0,1.7080902474765654e-56,0.0014699941302055864,0.0014467165092041567,0.0,0.0,5.302183500016937e-40,0.0,0.0,0.0,0.002921127131584802,0.004409982390616759,0.0,1.0277088348323268e-119,4.310677248256966e-25,9.715743969831076e-304,0.0,0.0014699941302055864,4.5904879006874544e-113,0.002446038345856455,2.3994864554655973e-57,5.220410146555665e-50,2.19056152268415e-38,0.00509825784484221,5.269025925974837e-79,0.004525731243616216,1.5764660908707137e-113,0.001441067979479705,0.00029894712759193,6.575475355328853e-37,0.00535934763808406,0.0025324322303907636,0.002113409275767752,3.06693606297523e-47,0.004898939551668934,0.005026694500636374,0.010715406065109762,0.01455328147006429,3.7728641732381396e-24,0.011562538857070993,0.007953103014808572,0.014691622749198052,0.005635893732017661,1.7322300795933684e-15,0.01731996414544584,0.010645678022571504,0.006596780574506304,0.024031575492772128,0.017370267166353023,0.004774335073379482,0.019261929324428505,0.020567267899356638,0.02176334443862995,0.019987854082583932,0.013029143701989479,0.017016857123174457,0.023323047082674575,0.022262499682695572,0.013020394813313222,0.006282302142454536,0.0024422164212578807,3.089200933130637e-07,0.01720482215451382,0.012249644473658283,0.010382588252094628,0.013794426201408468,0.017330755870360898,0.033792419557653476,0.028792814926361755,0.012515845216847616,0.024632651598457362,0.011198227956689505,0.0230507134255006,0.02155443848468991,0.023335927938223304,0.008859949093812864,0.009991953765124028,0.005836790888521281,2.37690439014607e-33,0.012306180750818373,0.021341172525595385,0.01277056080019065,0.005897829115626899,0.008345186192676112,0.029952427491227628,0.0066803193787831165,0.03161624485414211,0.028966709117493387,0.0122852573297805,0.013882667019944922,0.00990210296292629,0.01231850466987024,0.010009841273220662,0.0017943346425209174,0.011456063683172587,0.0083945482025053,0.011986191543732956,0.009238427847818304,2.9817856602079545e-37,0.002630918303393907,2.5627092894904297e-48,0.010889550525255257,0.002499160701524817,0.012041001783051631,0.016499487216355094,3.285114549175185e-106,1.8004077184395348e-11,4.574859172508013e-70,4.1755595797080005e-77,8.697315235224634e-47,0.004246752193256114,0.002759083896671436,0.005879976520822346,0.008819864701040625,1.1002640007065613e-169,0.001500132456513055,0.002939987677259619,0.0014699941302055864,0.0,0.0,0.0014699941302055864,0.0029399882460897442,0.0,3.822978116754013e-154,0.0,3.543155182833862e-55,4.458021881696653e-232,0.002939988260411173,0.0,1.8433684312590256e-235,0.0,1.3305887525728737e-218,2.4697490159510265e-248,3.344973201659213e-107,8.529782033581256e-127,0.0029399882523199403,0.0,0.0,3.411813453022673e-37,0.0,0.0,8.521965749161204e-115,0.0,0.0014699941302055864,9.230951308387931e-94,0.0014699941302055864,0.0,0.0,2.1764504678575263e-193,3.04303622004205e-54,0.0,0.0,2.6628242519034037e-138,0.0,0.0014699941302055864,0.0,1.504024063324309e-189,0.0,0.0,7.551351615343521e-42,2.0798530130558768e-57,5.933502516296012e-78,0.0014699941302055864,0.0,0.0,0.0,1.3657816653107669e-275,0.0,0.0,0.0,0.0,0.0,6.000936077360273e-79,9.099265931269395e-197,0.0,0.0,0.0,0.0,0.0,0.0,0.0014699941302055864,1.3123620553050546e-257,0.0014699941302055864,0.0,0.0,4.5582251412025634e-80,0.0,2.3432067885062637e-213,0.0,0.0,0.0,0.0,5.764835423419504e-156,0.0,0.0,0.0,0.0,0.0,0.0,1.1603990933871766e-262,0.0,0.0,0.0,0.0,0.0,0.0,0.0014699941302055864,0.0,0.0,0.0,4.515913607046162e-130,2.7915012702254645e-138
S_3,0.0,0.0,0.0,0.0,0.002552503272971048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002552503272971048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1402923743549933e-181,0.0,0.0,0.0,0.0,0.0,0.0,5.180233175546993e-124,0.0,0.0,0.0,0.0,0.0,0.0,5.233458547793674e-160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8694485860019022e-185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002552503272971048,0.002552503272971048,1.6144797280215888e-145,0.0,0.0,0.002552503272971048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.981711915916108e-200,0.0,0.002552503272971048,0.0,0.0,0.0025529084939346445,2.219006359426919e-192,1.354155656626954e-146,0.0,0.0,0.006083682865622835,0.0,0.0,0.0,3.275053421799993e-05,5.3780536397527684e-95,0.0,2.639818397790782e-123,1.1957867109245745e-230,0.010210013091884192,0.0,4.2735011423343106e-204,8.831313646633541e-68,4.390557001459988e-21,0.005105006545942096,0.0028139896829564035,1.9650377248968814e-61,0.016672398853139547,1.3419688199193198e-96,3.379310312382757e-107,0.006453360180138116,0.002559702901133197,0.00463021144924675,0.012435925004504762,3.392411791803579e-70,2.429352392168796e-236,0.022304833383086642,0.006887979554006087,0.00943325714133966,0.00804964172518322,0.004891848966186647,0.006784207799874169,0.0056349276611327315,0.005938274778520861,5.392608502653684e-53,0.02536264552061501,0.005270843550146855,0.023713696977528034,0.012600357501648724,0.015096498810799356,0.010245120323149805,0.029457659119330386,0.011871312347279093,0.025832549699993584,3.313414373464717e-10,0.03654033180701231,8.8682490514747e-33,0.009989473519181247,0.015423255589717558,0.006515027073393991,6.572075672073331e-16,0.021043924649223483,1.0094738823438258e-48,1.634355626899632e-34,0.018341220657389325,0.02535891636272521,3.540344915607227e-21,0.03970628269321963,0.030538617059336155,0.0057267756071299174,0.021955584388287513,0.025710278130484265,0.00028214232098730253,2.6837305488468405e-42,1.8201305097656158e-61,0.019756360132590068,0.006277630154052389,0.03759419032368304,5.348523300851334e-27,0.02169486569943473,0.008946682213691043,1.3269370637297874e-34,0.023647879261443218,0.0097096594658594,0.02223763432145421,0.028125586360390566,0.021203394925238275,0.0050910603285815705,0.00034362877968415584,1.9714218825238377e-49,7.882688859476649e-17,5.402392950728559e-59,0.006834081862343716,0.007146929188328704,0.017814556012014666,0.00965015704469264,0.010453753910597923,2.810172454831595e-17,1.4269177919461093e-52,0.008457021370248861,9.268608022197074e-27,0.023284636485285285,0.022139533063070257,2.0879544136017047e-111,0.00506954853816773,9.767902341278062e-65,0.007816566783230084,0.00531232777842601,0.006712248633309521,0.01246166234420273,4.905890821420574e-100,0.0027321778540257842,0.004483456786281149,0.01422812533302769,0.0028359367945298987,0.010518963016807032,4.876459191245411e-19,3.605104968700611e-74,0.012867120907151796,6.622872945366375e-157,3.847594034277262e-99,5.606544129841566e-143,0.0,0.0,7.673151179317058e-302,2.486294677563322e-11,0.0,8.721567559291015e-153,0.0,0.0,0.002552503272971048,1.865456751168223e-276,0.005105006545942096,0.002542705647290939,0.0,0.002552575520986983,0.0,0.005105006545942096,1.1031135571986575e-150,6.200215170018638e-100,0.0,0.0,0.0,0.0,0.0,0.002552503272971048,0.0,2.197855843400943e-137,1.0787007236819966e-49,0.0,0.0,0.0,1.7106902844886676e-28,0.0,0.0,0.0,0.0025525032724881785,0.0,0.0,0.0,1.0014515683660515e-243,0.0,0.0,2.2730258352831093e-41,0.0025598561159896464,4.035470065180079e-186,8.712870576142716e-298,0.0,0.0,0.0,8.149672100751914e-89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6541382585527813e-78,0.0,1.6713302053796527e-144,0.0,0.0,0.0,0.0,2.6249924723227166e-164,0.0,0.0,0.0,0.0,0.0,0.0,0.002552503272971048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002552503272971048,0.002552503272971048
