,O_0,O_1,O_2,O_3,O_4,O_5,O_6,O_7,O_8,O_9,O_10,O_11,O_12,O_13,O_14,O_15,O_16,O_17,O_18,O_19,O_20,O_21,O_22,O_23,O_24,O_25,O_26,O_27,O_28,O_29,O_30,O_31,O_32,O_33,O_34,O_35,O_36,O_37,O_38,O_39,O_40,O_41,O_42,O_43,O_44,O_45,O_46,O_47,O_48,O_49,O_50,O_51,O_52,O_53,O_54,O_55,O_56,O_57,O_58,O_59,O_60,O_61,O_62,O_63
S_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.71033340056347e-31,0.00729913680550699,0.01605615432263022,0.043588910199773054,0.12105934060302265,0.09899393227389736,0.35527750924058976,0.21884493935375698,0.11383865631494122,9.527320548894405e-05,0.021214484840936857,0.00048376965185434063,0.0032478931876013394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4911783222714816e-169,0.0,0.0,0.0,0.0,0.0
S_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008153042119948685,0.0,1.1609140682317162e-72,1.0584233700812009e-193,0.019306932864636285,0.07026223981956066,0.12085357924392182,0.10364186091290507,0.012855127969132444,0.4366048299416431,0.13015602800950885,0.0879417660225589,0.017257645799803992,3.0310120413067566e-13,0.00030468520403085684,1.9382339501878893e-65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001149256283422324,6.346863297309864e-95,1.4840466188833455e-80,5.191434351018609e-78,0.009917178811881356,0.01471565372259819,0.03653791703879133,0.051639838957898775,0.07488259716354619,0.10994946352573433,0.11769615225191712,0.19835395696017136,0.10874224177763898,0.1330914802652996,0.07903101830461166,0.028514891672216162,0.014077370705480027,0.011474479563758525,0.0084029089848084,0.0024331446976732,3.5667308731489954e-06,0.00042121323675929395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.604309684872046e-306,0.0,1.179463238919583e-239,9.973235470956326e-81,7.538539362744868e-21,0.011184448922059621,0.03478470375327971,0.1148710476696872,0.23776223930452756,0.20358041818911346,0.1759684703075226,0.11986109990929485,0.07562506669897234,0.01895343222836704,0.0074090730171755305,6.606191860021135e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010455714383222335,0.0,0.0003435858552372599,0.0018589047423381267,0.015629826049882424,0.06777378898629935,0.23337148752550457,0.3603835559765741,0.23434299286464114,0.06684169520704582,0.016095919273667554,0.0026218266859095022,0.0006318596890678525,1.2511776050446283e-276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005828804793680463,0.0007556901174974022,0.005123324530181655,2.726904662420359e-18,0.005572843364666907,0.00825645055991187,0.043846034762783745,0.07823528403330973,0.12694966567760815,0.14087541775912604,0.17416115927260428,0.14398019215939553,0.10896808173026265,0.061204662603242616,0.05870834364977584,0.031287443926112164,0.009069652567337867,2.184660756674821e-21,5.394549272404356e-141,0.0024228728068155293,1.0646164037503995e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003199808539231468,0.0,0.0,0.0003199808539231468,0.0006399617078462936,0.0,0.0009599425617694404,0.0006399617078462936,0.0019198851235388808,0.0022398659774620277,0.003199808539231468,0.005497061212813301,0.005479745566980089,0.011063032007774207,0.01950029336991536,0.022776356613692397,0.03995695041805311,0.042766935394690335,0.047373414602132166,0.06576273249123085,0.09603549369148391,0.07098631225286368,0.1077005704346986,0.07184854490583921,0.07495979607317017,0.0757253588692841,0.05848947611956242,0.055802022891485344,0.03852678081542148,0.023037622869433665,0.020678925219338017,0.012117093388122441,0.007037089062470798,0.004799712808847202,0.0035197893931546145,0.0035197893931546145,0.0009599425617694404,0.0006399617078462936,0.0009599425617694404,0.0,0.0003199808539231468,0.0003199808539231468,0.0003199808539231468,0.0,0.0,0.0,0.0006399617078462936,0.0003199808539231468,0.0003199808539231468,0.0,0.0,0.0,0.0,0.0
