,S_0,S_1,S_2,S_3,S_4,S_5,S_6
S_0,0.0,0.587565879449564,61.789767065487176,2.134689677499623,2.758449443384496,50.423938324532934,0.17438396017480134
S_1,0.587565879449564,0.0,62.37186837123046,2.7202156095605554,3.323216848036576,51.0113970993233,0.41849526984019997
S_2,61.789767065487176,62.371868371230455,0.0,59.713896784559836,59.07314752422672,13.363170740649599,61.95389466661394
S_3,2.134689677499623,2.7202156095605554,59.71389678455985,0.0,1.1515883017113064,48.30198804450231,2.3080282454661774
S_4,2.7584494433844964,3.323216848036576,59.073147524226734,1.1515883017113064,0.0,47.79231018474944,2.911437250964825
S_5,50.42393832453295,51.0113970993233,13.363170740649602,48.30198804450231,47.79231018474944,0.0,50.594120670269426
S_6,0.1743839601748014,0.41849526984019997,61.95389466661395,2.3080282454661774,2.911437250964825,50.594120670269426,0.0
