,0
0,0.9999999999999999
1,0.010697599119649891
2,0.09914230461592452
3,0.006044806955439582
4,-0.0026752189620207092
5,-0.0008240337351965649
6,-0.004876971912431429
7,0.01704084875895222
8,-0.004701948643975748
9,-0.007236794217026845
10,-0.007315879748925456
11,0.0017215184896241637
12,0.016585614832489954
13,-0.012416589107640938
14,0.008183840623774176
15,-0.008070079251716928
16,0.0033080949019567776
17,-0.010999815352798762
18,0.0245474396528009
19,0.005348304804807163
20,-0.008521510033135251
21,-0.004284511120036244
22,-0.01571451641057012
23,0.007544987784032704
24,-0.013432579739059333
25,0.004829729661578847
26,-0.0020346393650709574
27,-0.009688826610670664
28,-0.00973997585133539
29,0.041865861489500285
30,-0.011943017490603634
31,-0.010285048972868676
32,-0.00614116022676819
33,0.012981983424824177
34,-0.009918896319587643
35,0.010086962810975857
36,-0.005198130379047701
37,-0.008484246418194672
38,-0.005215042117922299
39,-0.006884289876663675
40,-0.006954115755859863
41,-0.014346039013441409
42,0.0006451112982614221
43,-0.004434059606588728
44,0.004047378949204792
45,-0.006078522693405632
46,-0.011833276816413099
47,-0.004910762390018886
48,-0.00116852472640697
49,-0.0036946847617694636
50,0.02591593811065362
51,0.0010445106902184334
52,0.06336471528595956
53,0.008663706454350637
54,0.038855410696613885
55,-0.007318746712037395
56,-0.012981930595479993
57,-0.008034679911501414
58,-0.010057449250253911
59,0.005009582976310154
60,-0.004892658417055348
61,-0.0023023671572778236
62,-0.003958926382752163
63,-0.008158200749651097
64,0.008052373500920721
65,-0.01191342716347097
66,-0.011898220913443709
67,-0.006657566496729963
68,-0.006476695277903935
69,-0.007509074165422048
70,0.0007174977215069313
71,0.0016423099470606526
72,0.011102680964411945
73,-0.011226196104185078
74,-0.007775649608139729
75,0.006983805580962749
76,-0.0060049058938772245
77,0.014498887476661173
78,-0.000516432090129209
79,0.004451760683402659
80,-0.0017543861768829416
81,-0.0032305045412966255
82,0.015401814702163981
83,0.0007238548900259957
84,0.011425513133979295
85,-0.0063860353386204945
86,0.004759218373039166
87,-0.007176369222320454
88,-0.013379624485117486
89,-0.001233282801513257
90,0.0019872184237116584
91,-0.013186745114337706
92,0.00641548191367132
93,-0.006595388447627088
94,0.003462756686054944
95,-0.014417097534526259
96,0.03512514422890831
97,-0.006565773518258929
98,-0.013733703329594728
99,-0.014250824534873517
100,-0.009921927628113891
