,O_0,O_1,O_2,O_3,O_4,O_5,O_6,O_7,O_8,O_9,O_10,O_11,O_12,O_13,O_14,O_15,O_16,O_17,O_18,O_19,O_20,O_21,O_22,O_23,O_24,O_25,O_26,O_27,O_28,O_29,O_30,O_31,O_32,O_33,O_34,O_35,O_36,O_37,O_38,O_39,O_40,O_41,O_42,O_43,O_44,O_45,O_46,O_47,O_48,O_49,O_50,O_51,O_52,O_53,O_54,O_55,O_56,O_57,O_58,O_59,O_60,O_61,O_62,O_63,O_64,O_65,O_66,O_67,O_68,O_69,O_70,O_71,O_72,O_73,O_74,O_75,O_76,O_77,O_78
S_0,0.0,3.5466279261051915e-218,1.4547613386366368e-126,0.0,0.0004533719945512198,0.0,0.0,0.0,0.0006754102780693105,4.470474491048254e-302,0.0016885256951732763,0.0013272182486438163,0.0006854128218822549,0.0016885256951732763,0.0030393462513118976,0.000792396633602819,0.001311480639137252,0.0027383301283986808,0.0018829960854835138,0.0031639375116091785,0.004607652814339104,0.007710416375304821,0.009069204989196071,0.007274701661155347,0.010674545839926289,0.014127055379366989,0.024557105984353237,0.023228755764558077,0.024481177886886387,0.018270148261260392,0.019394373359614556,0.04567900392404016,0.026095399387937947,0.041048011122804935,0.03876593083631985,0.040073094421027765,0.05617897611074712,0.052754384637580864,0.047053109915728246,0.04083893929429105,0.04718710643936542,0.0458109682044729,0.04867497548881068,0.03637864104072442,0.04817647354401612,0.032764704613154255,0.026671590847932407,0.01752554420520669,0.024081084826116737,0.022798862440525935,0.019889430901997514,0.011844441944024517,0.010081649540011301,0.006610452966542547,0.007119801676716143,0.004406263150851574,0.002541807268425894,0.006298560084584821,2.936503617641655e-30,1.0997001316755786e-16,0.0015050745699209432,0.0006754102780693105,0.0030393462513118976,1.5224131159029201e-102,0.001887228655438154,4.208808598013569e-74,2.6753213278697946e-14,0.0016885256951732763,1.4322372308934608e-203,1.3393143775149705e-23,0.0,9.574193266719467e-272,0.00033770513903465526,0.00033770513903465526,1.4787317993094732e-135,0.00033770513903465526,0.0,0.0,0.0
S_1,0.0,0.0,1.0377523761884077e-178,0.0,0.0,0.00019515759640240435,0.0,0.0,0.0,5.989330607504103e-24,3.4194866967105965e-191,7.9686742442271e-267,0.0,3.4648051390489295e-268,1.9779374308911947e-188,7.173322790343515e-107,1.2759307896432693e-135,3.0948276794313536e-33,2.0444960325023113e-39,1.0856907626374303e-33,1.0296351575726975e-21,0.00088915708282559,1.0320908310680147e-26,2.5486884653688064e-06,5.080162936395666e-07,0.0025243621977888626,0.0044338513622373295,0.008904495047748838,0.014320664161066782,0.0025345601787798377,0.033015428324128425,0.03754493523774651,0.04133717343108661,0.03233174362484103,0.053075196271447335,0.10827022363004407,0.04906236147290054,0.08052553518857615,0.09040386139403744,0.071872624859527,0.04700909345466867,0.11549087976938086,0.04994107978909109,0.04817288820708799,0.03750169177246203,0.01768575087512854,0.014109731422024102,0.012786816727021217,0.01280865678134118,0.005098114306111648,5.033731651366013e-07,0.0035552658342424487,0.002737809414948888,0.0005930915038568004,2.2964896748380044e-14,0.00047026230358849846,1.0427851913895635e-26,0.0004474218496330215,0.00034655485028114194,9.125625720960735e-90,1.4185593738538767e-62,0.0,0.0,6.000579462282938e-179,2.0568580688519727e-269,0.0,9.314822038735447e-209,0.0,4.391492786459546e-135,4.4778168148421054e-166,0.0,0.0,0.0,0.0,1.8e-322,0.0,0.0,0.0,0.0
S_2,0.0003037407409327899,0.0003037407409327899,7.480988926926594e-182,0.0003037407409327899,0.00019970697793835602,0.0,0.0006074814818655798,0.0009112222227983696,0.0,0.0003016677866826343,5.889087095555954e-30,2.403688994194641e-40,0.0002947441941857317,2.9075414265922e-150,1.8547155806719505e-113,0.0017241440314849585,0.0009751187405386741,3.297038438551818e-22,0.002602354885033082,0.0035328282875890277,0.005360246897739906,0.005842791033706088,0.006587648760609749,0.009818241498640039,0.007090821898244929,0.01879644329501213,0.0021172857468876776,0.0156768004235109,0.018205846635693298,0.02829360551811577,0.031012854281245922,0.02763282301356167,0.03144907256012932,0.042415053126560416,0.05625971780474849,0.06392434862805259,0.051458737390879666,0.03592042587286919,0.05325816371646198,0.03885192617985197,0.05625953831828268,0.03359603202400957,0.038869205491551206,0.03665903903785879,0.03677049544751723,0.033323655423721156,0.036551167550887706,0.028225761834110418,0.025494588183025305,0.017457775197120867,0.016510598853799092,0.017179087352942785,0.009005799918208615,0.00907966644256204,0.005826667004136397,0.008365834632658687,0.00568921472019484,0.0030545135006589796,0.005761634269403623,0.004556111113991848,0.0014042464081796026,3.256648655445587e-70,1.0035161433357634e-20,0.0021261851865295293,0.00042876289751612475,0.0009112222227983696,0.0012149629637046395,2.66342046104439e-111,0.0009112222227983696,0.0006074814818655798,0.0006074814818655798,0.0003037407409327899,0.0,9.550380960323494e-66,0.0003037407409327899,0.0,0.0003037407409327899,0.0003037407409327899,0.0003037407409327899
S_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.876784019294345e-269,0.0,0.0,0.0,2.6122630099397364e-152,0.0,0.0,0.0,8.046675129396522e-05,0.0,6.118382819769231e-249,4.775082867296526e-227,2.374946760045417e-228,6.341481211801828e-51,0.0006022816341917868,0.0007669459759103275,0.0023817508027547184,0.005585215114401127,0.010467380640787121,0.024216833096008902,0.048349351930024216,0.06835391256655249,0.12975467269597415,0.14542010441068656,0.12802241785303092,0.1458370393199039,0.13339896490737288,0.06369207986584353,0.04535915044916629,0.02529596528466453,0.011507655323121006,0.006044057911836905,0.0024944894572663575,0.0012533435836644703,0.0006410195945369544,0.00035240561637824795,0.00012249521462862544,9.172088012391602e-107,0.0,0.0,1.2154224893709246e-261,4.325731883241952e-255,2.4635779286446043e-196,0.0,0.0,2.1332043603630344e-264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.240039908547203e-297
S_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.396787292624411e-176,3.0862795799957237e-109,3.3804334040972446e-132,1.919123016878717e-291,4.774206953677725e-302,0.0,0.0,2.7925758090793157e-276,0.00023144145770653246,3.494536924724538e-263,6.095024727743504e-102,4.329748998933872e-14,3.535618007668569e-141,0.00016642032839645008,0.00041256161398231327,0.00042145806385601226,0.0007954581818782922,0.003284278782921113,0.006212061123551312,0.01043786914993049,0.013193678094219162,0.02068615711474398,0.03414674263688287,0.04665078031334725,0.04916834600705657,0.05056584556371526,0.12907074906438634,0.07801383314870361,0.09039711213085377,0.08513947808252192,0.13683965507178372,0.05798886440832187,0.0519821582548105,0.044677472490678286,0.03388609983900758,0.023391072452388043,0.012902563266963839,0.007222612549967448,0.004927034127823364,0.0039930378549333624,0.0015085138175304515,0.000594137593937857,0.00032288942151323776,0.0005097521142731164,6.560373260912701e-05,4.656945463199571e-64,9.255200726019556e-05,9.842865927400158e-146,0.00010171013750131864,2.6681679783180033e-77,4.403263840650373e-145,0.0,0.0,0.0,0.0,0.0,1.0900958424864406e-258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S_5,0.0,0.0,0.00018911938537462044,0.0,0.0,0.0,0.0,0.0,3.502701268916e-312,0.00019041007766877667,2.9241082351174917e-272,0.00020233699260222023,3.808909396134508e-125,2.7311525094054683e-163,1.82769367106678e-146,7.90527920735129e-33,0.00017136610422568437,8.977399626840167e-08,6.82720088128964e-80,9.65111411582062e-31,0.0005190615682873503,0.0008275844114035874,0.0010354138507637535,0.00037020866183699305,0.001406733084408367,0.004377671868711309,0.003739797753649726,0.0038606942207919472,0.0070807370977070665,0.016092764165455277,0.02121488990489645,0.02100310054876534,0.021863652094917623,0.04293917652164055,0.07442449809627115,0.08890808067298515,0.08107440651917502,0.0654880242706536,0.07523302671824225,0.08278055192368557,0.07400880514214918,0.08933704643218658,0.07985098205850574,0.0302277740049137,0.02374755093815342,0.025735469713306668,0.02560136705073565,0.011324952800176676,0.010116434129123908,0.008151935342156427,0.0032400525808415005,0.0011002991140008473,0.0010369686240186706,0.0009738447603945087,3.819161505468613e-17,2.386923050413398e-12,0.0003791209082789621,5.101509980157478e-54,2.1772994948285258e-44,1.4344143595415475e-105,0.00017400011055494552,0.0,9.245546779865228e-130,2.6546811514548454e-193,5.6270989418609e-310,0.0,1.4525380419464502e-163,3.010678922567681e-236,0.0,6.497582730147676e-66,0.0,0.0,0.0,1.791241695358809e-185,2.5505469434653976e-235,0.0,0.0,0.0,0.0
S_6,0.0,0.0,5.031676005253509e-205,0.0,4.945347250358211e-274,0.0,0.0,0.0,0.0,6.495539162371901e-140,4.295301590411515e-263,1.553273784566004e-132,2.2604368945794713e-203,7.872193788617618e-141,7.219400236971741e-139,0.0018513735783725956,2.181224092955592e-88,0.007371421740114162,4.344569150736832e-18,3.4445077270003993e-43,0.0018261883532419863,1.3532565243521957e-35,3.041080090727877e-16,0.017258178499780865,0.033179335542545756,1.787370496122912e-16,1.3800553367420134e-10,5.21138022648647e-05,0.01465172392715089,0.09186771430226405,0.004233431858212409,0.007391258018122705,0.09411434026204389,2.4437934760143477e-06,0.07774545374569665,0.0025040430051203747,0.06590483283214502,0.16366289938238857,0.03859623026929729,0.001687211650682007,0.14618838897889783,0.02112171329709051,9.861984877269229e-05,2.977764983414056e-05,0.003777685140097697,0.043884510144570656,0.029080598104765494,0.05370569704887461,9.7109469965609e-06,0.00038916642498097167,0.057782952503452424,2.8542999177812014e-17,3.655951513809677e-23,9.998406598672984e-05,0.016907596318213487,1.5939321872714332e-20,0.003023404826539871,7.955193942420657e-26,2.7389779282377515e-30,6.091333089446936e-57,4.0264469457573275e-97,0.0,1.3422509574434577e-259,3.9849808549009013e-128,4.541136928633875e-260,0.0,2.4413674786420948e-222,9.854192155799976e-195,0.0,2.027465602661735e-150,2.86649e-318,0.0,0.0,0.0,1.2754423814817398e-195,0.0,0.0,0.0,0.0
