,O_0,O_1,O_2,O_3,O_4,O_5,O_6,O_7,O_8
S_0,0.0,5.561560008276521e-187,2.8884035012442846e-52,5.5150006842371524e-05,0.9997165668922625,0.00010739096316780861,2.2828424216078305e-73,0.00012089213772730799,0.0
S_1,0.0,6.646888611839558e-137,3.7548967012033884e-55,1.3063604122514853e-05,0.9999828412232816,3.996705209374374e-06,3.2978063664552483e-69,9.846738635243262e-08,0.0
S_2,0.0,7.682940459242148e-10,7.313401805038128e-06,0.07123516006126561,0.8449496982898201,0.08136073704757302,0.002447090431242264,1.7233945248483286e-27,0.0
S_3,0.0,2.5674676402734086e-103,8.731420075306791e-43,0.0014159565779379953,0.996026936158605,0.0025565213929526834,1.5888910746481003e-60,5.858705043185008e-07,0.0
S_4,0.0,5.090914241453248e-166,3.459732453585747e-53,0.0016636765918218639,0.9972849537993385,0.001046114392273972,1.0937990570094375e-72,5.2552165655961926e-06,0.0
S_5,0.0,0.00102489728859431,0.002041805857733895,0.06029158470882546,0.8923343148406278,0.043548366498863074,0.0004010785066292183,0.00035795229872617013,0.0
S_6,0.0,7.684523091783093e-195,1.4044538651460178e-47,8.837359471136666e-05,0.9996483338068576,0.00025297881632049384,1.339583437178889e-69,1.0313782110574708e-05,0.0
