,O_0,O_1,O_2,O_3,O_4,O_5,O_6,O_7,O_8,O_9,O_10,O_11
S_0,0.0,0.0,0.0,2.5814244079052205e-10,0.0024489314327088172,0.003645934355165159,0.05784448279808221,0.8560227896051202,0.07390762787309862,0.0061302336776823335,0.0,0.0
S_1,0.0,0.0,0.0,0.005888454819297622,1.2226717267710415e-05,0.009048990882406379,0.23664623908159774,0.5363045076452151,0.19740485631269689,0.014694724541518591,0.0,0.0
