,O_0,O_1,O_2,O_3,O_4,O_5,O_6,O_7,O_8,O_9,O_10,O_11,O_12,O_13,O_14,O_15,O_16,O_17,O_18,O_19,O_20,O_21,O_22,O_23,O_24,O_25,O_26,O_27,O_28,O_29,O_30,O_31,O_32,O_33,O_34,O_35,O_36,O_37,O_38,O_39,O_40,O_41,O_42,O_43,O_44,O_45,O_46,O_47,O_48,O_49,O_50,O_51,O_52,O_53,O_54,O_55,O_56,O_57,O_58,O_59,O_60,O_61,O_62,O_63,O_64,O_65,O_66,O_67,O_68,O_69,O_70,O_71,O_72,O_73,O_74,O_75,O_76,O_77,O_78,O_79,O_80,O_81,O_82,O_83,O_84,O_85,O_86,O_87,O_88,O_89
S_0,0.0,0.0,8.409374255717487e-151,0.0,0.0,0.0,0.0,2.790554132194467e-260,0.0,1.1497775604969966e-166,0.0,0.0,0.0,2.935180349670296e-293,0.0,6.722577786551632e-197,0.0,0.00018755575477042962,0.0,6.75181069064223e-05,5.103994150680824e-134,3.846333546213357e-161,1.0082951763870648e-158,0.00019652622598464515,1.0355090081892699e-168,0.0005449186139539703,2.0347242569468794e-138,1.31327598555632e-25,0.0024374982872915874,0.001176086065870125,0.004672706723219852,0.0024777038646716155,0.005429407649746594,0.005999726240093584,0.011971501419393793,0.02174713013551567,0.02444142508224378,0.03792924343341789,0.03208286768443008,0.06194861954616785,0.05820809704279608,0.06286548221410047,0.06512933298782679,0.05919273817460148,0.06277735163567923,0.06798141026865918,0.06536073599513331,0.06342866641405329,0.06647886970925468,0.055505600861448595,0.035163207525964045,0.04132940400677378,0.02717505026264813,0.018223743644039905,0.01271370671855129,0.010728599876620374,0.0030323638742701356,0.004587892422780066,0.00023226843781713996,0.0028276588033174506,0.0030755351323603687,1.9883516248864676e-51,2.6558721349017092e-86,0.0006718491576261967,3.7289109483563234e-88,1.7366962916593495e-109,2.792194387997302e-28,2.647151359193819e-295,0.0,0.0,0.0,8.541745488578658e-45,3.7021074199026664e-303,3.5603925375250365e-209,0.0,3.521697233738652e-145,7.289169766833556e-242,1.1218300859643824e-49,0.0,0.0,1.936206818860238e-108,1.0029020816477404e-215,0.0,0.0,2.667748741577775e-205,0.0,0.0,0.0,1.889571906602224e-160,0.0
S_1,0.0005037284091037292,1.398846333305947e-105,0.0,0.0,7.599214464716803e-147,0.0,1.80171642471528e-134,1.4784724037967048e-307,0.0005037284091037292,1.9968313293697485e-58,1.6029580143016177e-194,1.1694268108477274e-65,8.852944421311808e-252,8.884267691178506e-192,1.948770072672166e-65,0.0006078138291172662,0.0005037284091037292,1.3283637280538837e-157,0.0010041685548581674,2.9032600220136184e-138,0.001063159219847641,0.0025281944456021174,0.006044740909244751,0.0008091890980875346,0.0042084276707934475,0.005148560737528458,0.006069914845291045,2.2572016944253032e-17,0.0069685986768964325,0.017642803492251675,0.012084692981327697,0.013453305104922543,0.016340998816112614,0.03186010126323861,0.011399476412577452,0.020537705351827636,0.026400762873791263,0.035508844908762174,0.04442440044564035,0.037412133018172145,0.054817864072834954,0.0419481056460964,0.030313415880156923,0.03925904663689331,0.05081223907087824,0.04389690655752466,0.05000157391595811,0.04605490827388745,0.043038239011103915,0.04816350114666922,0.034004582760936056,0.03330796820466445,0.023098953236832902,0.025404999010045306,0.024110813856268596,0.028926183084142396,0.009565406272910446,0.01261072243713628,0.005487996132154043,0.004810082802902939,0.008031564937858343,0.008251783767081211,0.0013304389243392514,0.007829715747809978,5.226291060356416e-81,0.0030575501831789143,0.0038728294563144315,0.001746574406711157,0.004029827272829834,7.020019459109379e-164,0.0025186420455186463,1.251167064906385e-68,0.0005037284091037292,1.0315562144036968e-65,0.0035260988637261046,0.0005757026403673931,0.0010554006337547134,1.9024435029068121e-196,1.0180378196841892e-75,0.0,2.1288114431522315e-47,1.2928206942629385e-147,2.05692095410265e-59,0.0,9.126419742326359e-63,0.0005037284091037292,0.0,0.0005037284091037292,3.0953795451214336e-180,0.0
S_2,0.0,0.0,0.0,0.0,0.0,0.0,2.7576866014358415e-82,3.5868477934368745e-169,0.0,7.107764963963949e-294,0.0,4.148210908456137e-116,5e-324,0.0,0.0,2.083378736464166e-277,0.0,2.840567055664951e-67,0.0,1.0691021411173994e-56,5.200196893428774e-159,0.0001876405576274842,5.904543252052339e-136,1.5969182568871555e-115,4.3785700252982777e-60,6.528011083172398e-146,5.132347697659346e-118,1.098003112514395e-13,2.746198194821989e-07,0.0011234270389698959,4.178562374611938e-07,0.004219697390664783,0.006539950589496048,0.009251100733616426,0.010033080421383362,0.010691540508812493,0.027885246743566572,0.03844916543926532,0.04336104314239442,0.047150257063639366,0.0751406986176943,0.06057373033876339,0.06947323447241298,0.07183375626465296,0.06152044947607654,0.06601608022564365,0.054699563483443264,0.06918467570594979,0.0707781194567025,0.05579379859251311,0.0459082724024675,0.031100132697636104,0.01867851694391685,0.018918202902949998,0.011737673110545088,0.005909054724130829,0.005285465382959557,0.004277969257134274,0.001299680195359979,0.0021227217005867507,0.00028992550746057493,1.1018322526547089e-38,1.3079193631203482e-91,0.00037055707280188066,1.8556923246138942e-27,2.076435703177184e-106,2.06568689387432e-77,0.0,8.18792590049982e-167,0.0,0.0,1.171674343682007e-116,3.8398401700280633e-246,2.7253591694931132e-303,1.5315533558322587e-201,1.2634493436791264e-156,7.550336236731733e-242,1.1261992810973145e-23,5.9373423964149574e-235,0.0,0.00019487936259531376,3.3989802062707124e-179,0.0,0.0,0.0,0.0,0.0,0.0,5.475105260949592e-213,0.0
S_3,0.0,0.0,1.8845703657209726e-32,0.0,0.0,0.0,1.7839535055747415e-34,3.706748451539981e-20,0.0,1.207386342521752e-261,1.2227818759300839e-290,2.029757498859366e-215,3.004378448254321e-222,4.734672997921593e-178,0.0,2.961339634328645e-247,0.0,5.88172894672906e-256,0.0,1.1419655084104292e-111,0.0,7.085336498977106e-176,0.0,2.812724873399442e-159,6.126162298314609e-98,2.747703215906556e-178,6.20898397142864e-05,5.849484419772566e-143,7.076222371953604e-20,1.2980479374092567e-56,0.0001764107248303955,0.0003078531179400573,0.000638588874077004,0.0011464292798342717,0.0025950382812701426,0.0054193113130333636,0.008996720255829921,0.016222046081732795,0.030669722755835068,0.04836222515361323,0.07388970557805943,0.0755298090677636,0.09141179482387204,0.09743407856651304,0.0976988672982644,0.09598930383661047,0.08890192450178896,0.07480472138293498,0.07261300415378262,0.049213654596203305,0.029245998680535665,0.01629511445816008,0.010592963078172295,0.006053059995326,0.0024237982450385567,0.00144480595965508,0.0007818143522277726,0.0006026847492417829,0.0004128310213400614,3.3918514113420067e-50,6.362997679923667e-05,2.5130373378376293e-93,1.3306454315185248e-260,1.988388566655102e-21,2.0101828916865667e-114,0.0,1.0618541201310047e-219,0.0,4.6542030700973815e-51,0.0,0.0,1.1034453661762182e-168,0.0,2.8088514262175758e-275,7.020183383319398e-213,1.9647612189163915e-117,0.0,1.581514779327333e-141,0.0,0.0,1.0746503041154223e-81,2.042190133699608e-57,0.0,0.0,7.098038341997486e-166,0.0,0.0,0.0,3.5312723006617837e-165,0.0
S_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.275543149874858e-142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.82618977086341e-294,0.0,0.0,0.0,0.0,7.32613643710367e-261,0.0,6.5095797610760835e-90,0.0,2.1849843335365176e-145,1.9782790587697307e-292,1.8631917493342325e-102,8.153167682210454e-05,0.00012300982542676008,0.00016218541275011443,0.0003439966379314554,0.0007124055384213044,0.0019081715909072458,0.005840671471631738,0.009202359683649715,0.02013047532140627,0.04821522269150507,0.09110380794613668,0.11220946595906525,0.1285402563210739,0.14850570271397476,0.13422777246827905,0.10791026503639227,0.09885872954572711,0.051257965226563694,0.02269928895947101,0.009839114025023065,0.003701322692627061,0.0027462872334888546,0.0010520279005977553,0.0005357500097357817,1.062452313929885e-34,2.4599029612164186e-109,3.3829533365502435e-25,4.102610004761362e-98,9.221411031914219e-05,1.0728428711877246e-12,4.115924913531682e-286,0.0,1.063892460267901e-296,7.466381479487246e-308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.188712742833229e-164,0.0,0.0,0.0,0.0,1.7297538265733047e-264,0.0,0.0,0.0,8.87768132e-315,0.0,0.0,0.0,0.0,0.0
S_5,8.578214684698038e-22,0.0,0.0004636110916470123,0.0004636110916470123,0.0004636110916470123,9.734451221858138e-38,0.0004636110916470123,5.654652199849648e-151,3.2407689000233363e-225,7.480735595323034e-117,2.4075313537726826e-146,0.0018541573514610865,0.0013908315533431785,0.0005971983068951362,0.001390833274941037,6.879645276932747e-138,0.0,0.0018694386930871863,0.0004666374751796899,0.0016929470307889512,0.002266789195294157,4.591659433215182e-71,5.91666375220192e-79,0.0043485151047269474,0.002348768639342505,0.003693910424532629,0.004147964257067295,0.018452747717575217,0.008753794575089372,0.0037898331740906827,0.012307214365570819,0.01866831728600301,0.014774347669366793,0.015849519871629882,0.0329693487080762,0.026450907127311428,0.028436221059153503,0.035224721080234396,0.026317721074918355,0.04714480875469363,0.03866840345914451,0.03688532548444585,0.04495751793436399,0.05509953078477864,0.043508466194794926,0.033474601277643144,0.03978422234633889,0.052870527329211145,0.04872177261571183,0.03440947267695693,0.03377787733972103,0.01637097501614193,0.03412562070939438,0.021630806063004722,0.0191258689523466,0.010208191302486552,0.028521929320651753,0.015388746426642941,0.0188186016652794,0.01600701333643009,0.007027456439434745,0.002025811271639374,0.006656897793699059,0.003733367623282971,0.004926701216011515,0.004140121836886456,0.0024625498480387036,0.0007091861980398813,1.0088128908574518e-93,0.001390833274941037,2.098287567570968e-191,0.0018544443662439813,1.9678350104295087e-173,4.361932901304073e-48,7.21482865109486e-38,0.0005642541544717387,8.978203015778655e-62,0.001390833274941037,0.0004636110916470123,0.0009272221832940246,0.0009184677800370131,5.474860493219475e-63,2.3467283756663056e-235,0.0004636110916470123,7.143768180008496e-128,1.204529995814033e-258,0.0004636110916470123,5.6529628754633655e-142,7.9517828987872e-91,0.0004636110916470123
S_6,3.704327652681188e-19,0.003547635005466126,0.0,0.0,4.2431958550577045e-61,0.003547635005466126,0.0,0.003547635005466126,1.1213329283305059e-135,0.003547635005466126,0.010642905016398379,2.1962911052627135e-06,1.3173976017192287e-08,0.00607303674335855,5.275236546967494e-33,0.006362222057022141,9.865164603631862e-140,3.288817867599321e-128,1.856319197405133e-39,7.00472332873241e-48,3.3174285884604056e-10,1.6423519392941793e-12,1.3890999105136235e-23,3.878927466262898e-37,0.012697678691844903,1.2911106328757538e-31,5.28369123725473e-16,0.025535118835519587,0.002508045278130497,0.05271641540642109,0.03726218431888462,0.01890842504773214,0.03493649284212291,0.01766075330263316,0.022754287755921667,0.07757926167120309,0.06560643019237135,0.003207485610239037,0.01537842749092457,3.874564716340752e-06,4.165671050963719e-08,0.08631189152909097,0.00019556457776820303,0.07316747369088644,0.07772229071457439,0.02215570045612562,5.803142440569029e-10,3.2043789471545526e-08,0.0060463596733423665,0.0027352272163734424,0.02079499625516597,0.06978545098792052,2.420119341066762e-06,0.01729836715507118,7.278892767002793e-13,0.046021617561609086,0.03399345456717264,3.3983086763768867e-17,0.02785580188257374,0.007962992226165375,0.0052732582771254245,0.018621361078184497,6.900661296057413e-08,8.251170558245679e-08,0.008419256062571113,4.917029304935461e-34,1.1731761511371274e-75,1.06624000529282e-05,5.164202235744759e-30,3.1197469099563583e-70,1.2365909367850195e-86,2.62726391103521e-12,2.7771753814604763e-140,0.014190540021864505,6.2748220288714785e-62,0.012913504534212106,0.0032099785317384116,5.753792422062412e-110,4.298844113219204e-210,6.642844037948952e-131,9.61461701209982e-15,0.007095270010932252,0.003547635005466126,0.0,0.007095270010932252,4.4225101923665096e-147,0.0,5.09306650045226e-95,0.003547635005466126,0.0
