,S_0,S_1,S_2,S_3,S_4,S_5,S_6
S_0,0.030424456188417683,0.8314689021292937,0.0036664512532306797,0.07344170635444303,0.06045034426808419,7.79544397543127e-09,0.000548132011086834
S_1,1.4055257672185303e-09,5.147378899298304e-11,0.0014421723750124408,0.9931952194591156,4.958479504528016e-09,4.4211446032413274e-10,0.005362601308278317
S_2,1.272588328712934e-07,1.1482526753338469e-09,0.056151303886217835,1.0125895692216365e-15,1.566970767735001e-76,0.9348745826379469,0.00897398506874886
S_3,0.20404694459356004,0.2936956677982437,5.5736082117956786e-05,0.4942143605897124,3.8139467027898435e-08,3.251849608290493e-05,0.007954734300816065
S_4,5.885915575736267e-10,1.6767062661658188e-06,1.3068247043861089e-14,0.007875755340982655,0.9903353088001844,2.0800434255799997e-18,0.0017872585639620547
S_5,9.070522241606997e-08,5.209413857997837e-06,0.9466581676890639,0.028037345961855784,3.9054720449120016e-72,0.02529910268612415,8.354387592490053e-08
S_6,2.8556612208817498e-257,1.9363733021564548e-243,0.04277331264079847,6.947352966162685e-214,2.508511893496246e-208,9.490702636333379e-06,0.9572171966565652
