,S_0,S_1,S_2,S_3
S_0,0.0,607.7701721050713,626.3134019288009,486.62832038894453
S_1,607.7701721050715,0.0,510.7483220962807,521.7516098999167
S_2,626.3134019288009,510.74832209628056,0.0,556.6963098302937
S_3,486.62832038894453,521.7516098999166,556.6963098302937,0.0
