,S_0,S_1,S_2,S_3
S_0,0.0,208.8355487800617,190.0287008359293,181.57820349359457
S_1,208.83554878006177,0.0,360.5506006221073,179.87327307387838
S_2,190.0287008359293,360.55060062210725,0.0,228.89136811826575
S_3,181.57820349359457,179.87327307387835,228.89136811826575,0.0
