,S_0,S_1,S_2,S_3
S_0,0.0,54.93384910119388,64.8773022761439,41.453417674838626
S_1,54.93384910119386,0.0,94.65366513533175,55.38502983754321
S_2,64.87730227614387,94.65366513533175,0.0,100.91981892791557
S_3,41.45341767483861,55.38502983754321,100.91981892791557,0.0
