,S_0,S_1,S_2,S_3,S_4,S_5,S_6
S_0,1.1478150786471714e-12,1.7230429628915923e-27,0.9792970777628953,0.009661612973123766,0.011041309262833018,1.0053946781283707e-25,6.506661731806057e-17
S_1,3.4499834387099617e-06,2.2895374091664698e-10,1.0278646173534949e-33,0.0,0.0,0.9309352657762098,0.06906128401139787
S_2,0.9827118375040907,8.081109942936644e-36,1.7058835984626766e-06,2.3944202210483786e-06,0.00018674780525668853,4.768102937968261e-12,0.017097314382065017
S_3,0.00026646160694695565,1.6474933375013196e-75,0.0018975501165658883,0.9945929397592528,0.0003811165657027709,1.3282212418974496e-55,0.0028619319515317382
S_4,2.5923181205801932e-08,6.506541343596709e-84,0.007785983727726195,6.083590683257553e-06,0.9922079067584094,2.75613449713321e-97,2.328851500623694e-19
S_5,2.2675267479717167e-25,0.9012529124851445,0.09874681742340992,3.6310994198077287e-295,3.309387887358559e-288,1.7532202815626662e-12,2.70089692386598e-07
S_6,4.539026064144302e-26,2.9716782895455274e-17,2.7947466895064265e-26,1.1111870184535165e-192,6.647832069504712e-201,1.0,9.543058380656211e-37
