,O_0,O_1,O_2,O_3,O_4,O_5,O_6,O_7,O_8,O_9,O_10,O_11,O_12,O_13,O_14,O_15,O_16,O_17,O_18,O_19,O_20,O_21,O_22,O_23,O_24,O_25,O_26,O_27,O_28,O_29,O_30,O_31,O_32,O_33,O_34,O_35,O_36,O_37,O_38,O_39,O_40,O_41,O_42,O_43,O_44,O_45,O_46,O_47,O_48,O_49,O_50,O_51,O_52,O_53,O_54,O_55,O_56,O_57,O_58,O_59,O_60,O_61,O_62,O_63,O_64,O_65,O_66,O_67,O_68,O_69,O_70,O_71,O_72,O_73,O_74,O_75,O_76,O_77,O_78,O_79,O_80,O_81,O_82,O_83,O_84,O_85,O_86,O_87,O_88,O_89,O_90,O_91,O_92,O_93,O_94,O_95
S_0,0.0,0.0,0.0,0.0,0.0,6.03289576397145e-101,2.7148631612745887e-277,2.659947997863554e-249,0.00013878161072455972,0.0,0.0,1.1118788656427504e-95,0.0,0.0,0.0,0.00013644618976894546,1.63897629597439e-148,2.366524301962621e-193,0.0,0.0,9.29886601573888e-30,1.173737088724389e-135,0.0001379763803389341,1.9144656834462007e-49,7.0748534011485466e-127,5.111752662207298e-247,2.8694245188663143e-96,1.3629756115075913e-37,2.662410337154025e-09,0.0017621101810928234,1.1079732023070583e-21,0.00044230264723814426,0.002571282669828807,0.006318977164513263,0.004944946686350735,0.009063826545784524,0.007138215779812574,0.021324294057270488,0.026340159503943684,0.037102481944503954,0.04140367383025639,0.052663036404168063,0.06773587071826238,0.05836678990504709,0.0854789511776124,0.07769735465914814,0.05694870950511,0.07359571334853758,0.07934882908212906,0.0578943885492663,0.05007899915673771,0.04580921160771004,0.0379991407993513,0.026946316377249,0.02341895650864163,0.013150324716091033,0.011822991791004576,0.009026901410713148,0.005056104558680209,0.0022688210235611867,0.0026225704413771083,0.0021313726431846747,0.0004516967206063941,3.4160132540339094e-43,1.3649620238564334e-48,4.338883574537094e-58,2.1199700692766655e-72,5.554844680002369e-79,0.00011961019235148042,1.1402784537353776e-45,2.2913826191626425e-106,8.036814418253977e-143,0.00013276425081871186,3.7578003602210614e-236,1.5940282942042751e-180,9.4e-323,1.1067970946194527e-288,9.194308756238184e-05,0.0,0.0,0.0,0.00017931340935079535,4.4307368358775e-311,9.118519888724388e-189,6.3166977393484536e-220,0.0001378401018895223,0.0,0.0,2.3946661405595403e-190,6.824517305383366e-34,4.8325000767385826e-76,1.9441018680890003e-241,1.122249516898491e-99,3.2391086827334562e-258,1.8110734963673541e-149,1.357231826644697e-82
S_1,0.0,1.2856761885187121e-90,0.0006722210040298137,9.13333135639863e-76,0.0006722210040298137,4.728177357771004e-62,1.375810472596502e-59,0.000672220721972713,8.607196094844181e-258,3.1700592828704478e-223,0.0,1.7098766647662326e-88,0.0,0.002016663012089441,9.76506372651937e-33,0.0015691664420136912,0.0023853900848974136,0.0,1.3218011566837883e-127,4.928996479835358e-58,0.005377768032238509,0.0014951306583970594,0.0026927843367448544,0.004966248652307489,0.0030119426921337168,0.003085746595528811,0.0034979310319097324,0.008416366665900362,9.32927108805645e-17,0.014021760874098187,0.008602933334332067,0.013029489490040349,0.019026499512608045,0.019705896960295455,0.01474527058346878,0.00850864294563681,0.0220881850172136,0.017073321092628865,0.03992699350707545,0.030120730935801955,0.04254639700190691,0.046483713094427115,0.03402125483488347,0.028654540486258935,0.037003206486063894,0.04365083903156838,0.030600299254844043,0.053789056999608585,0.04898370905763728,0.02540673550975968,0.061651938614033217,0.022303450214772747,0.018904906804915786,0.03386004795742489,0.03423104603410564,0.03492201198944895,0.014564172271274961,0.03478625217947804,0.015061480905017008,0.0024441248591634364,0.021181499725946906,0.009745712748006188,0.008727325851712252,0.01202017547455334,0.00456534941270725,0.011230310560220265,0.0021188603416160212,7.938954792675216e-08,0.0010431353247054133,0.004296269678079047,1.7677081821535269e-65,0.0025727724978120503,0.0033902515021327754,2.8839862550668463e-11,0.0026888840161192547,1.5994900493193186e-88,3.320832638597618e-54,2.754869781704752e-79,0.0,0.002016663012089441,0.0,0.0011307678254828216,0.0013444420080596273,3.3470356766711012e-18,1.3028697983321636e-107,0.0006767814210154122,4.841823059395018e-82,3.5973809949335196e-101,1.0407344074532602e-08,1.56640676613866e-154,9.245498200789145e-73,4.410017613781466e-105,6.133758141430387e-32,2.4037614673324054e-14,0.0,1.3345015852358003e-52
S_2,0.0,0.0,7.959518436814659e-131,0.0,0.0,2.5008194699911732e-185,0.0,0.0,0.0,2.6617720330003956e-278,5.024395232178438e-261,4.4469929668692366e-223,0.0,6.260641875577679e-187,2.2793387019336503e-291,5.478072806255581e-105,9.198298362606141e-246,0.00013644065946857265,0.0,2.0724522337578695e-292,3.1257382233575883e-143,3.319311702384628e-191,4.644332711979676e-177,1.0333826793444827e-97,2.405881162605973e-108,1.2916308402880733e-212,4.0746966464117074e-51,0.00045448759969817973,6.638471360893118e-83,2.5871124254594203e-07,0.0018002740071174366,0.0019388099254442146,0.0023398926351364336,0.0017159404542314086,0.003926454554898306,0.00653315565128841,0.012913420506164936,0.014685632640636978,0.018838391442513123,0.028901109746957043,0.03746578906032524,0.04537025150008724,0.044234919903704505,0.046993362007230956,0.09085704036151918,0.06816468802421889,0.06535574346577962,0.07148120235710638,0.10555590557611806,0.058653425577281676,0.06290279518448413,0.05883837695678758,0.04152186448412289,0.03447426737951,0.020780007491019405,0.02156202541850842,0.010436713637477238,0.00620541739287183,0.0072392190857298745,0.004262944131466408,0.0005884896215053995,0.0009726154321759927,0.0008533621473310294,0.000532484269858696,0.0003136994360758672,5.18789297534916e-89,0.0001037339187700557,9.210648765251715e-05,1.1122400281901197e-33,1.1161604126448379e-120,9.044121580463918e-42,2.3433436266525366e-107,2.5991854932192954e-114,1.551184340142861e-202,1.398973887449047e-57,5.9691928030807135e-257,3.1685552126119727e-216,7.536025459838725e-102,0.0,0.0,1.44455e-319,3.2811564825334494e-06,1.6759173023546428e-230,7.437681350009458e-75,0.0,5.086490112192891e-35,0.0,4.222427417146824e-232,1.9209611371643543e-69,1.7939751851726626e-120,8.507243582496483e-23,0.0,2.8716591664816895e-139,0.0,0.0,8.947936391736116e-16
S_3,0.0,0.0,2.356361369953138e-257,0.0,0.0,0.0,0.0,0.0,1.0864608622158485e-99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4960896580288055e-08,0.0,1.0035843156938517e-301,7.951878044252778e-262,0.0,1.2092724503878693e-229,8.412176531012017e-266,4.4758390470263304e-229,2.007341966382469e-235,9.205712055863089e-50,1.2373797396222403e-122,0.00013779397879764156,0.00018748258157623792,0.00044283654776789756,0.0004071041722668665,0.0013001096515221783,0.0031309847493958876,0.0033232877517690843,0.011973968135585258,0.02120234545070138,0.02316511649144259,0.07329767034446519,0.056668372328436654,0.07142402925822167,0.1763151717083603,0.10380846820287434,0.18215957470346564,0.06806839041667007,0.06549036256782469,0.07394283166015575,0.021331651591291304,0.019976512388305986,0.013192421729901111,0.0033325368673082965,0.0030392883323127873,0.001250674131793511,0.0009457840772853911,0.0002150523196428012,7.132302881644921e-05,4.162930966676775e-137,7.963062000399448e-05,1.2883433557659238e-166,0.00011920925114248629,1.7679092902642885e-278,0.0,5.496199154420543e-231,0.0,2.6020891917000098e-222,0.0,0.0,0.0,1.2799769350524e-310,2.6194425595779324e-290,5.154143732165449e-283,0.0,0.0,4.567695877731315e-47,0.0,0.0,0.0,0.0,0.0,4.469192009707912e-135,5.399056995818709e-150,0.0,0.0,4.92775623215966e-145,0.0,1.2496343035952293e-204,2.3101561236854928e-176,0.0,0.0,0.0,0.0,2.293413137833312e-300
S_4,0.0,0.0,0.0,0.0,0.0,1.5405004899127015e-227,0.0,0.0,9.506267224364903e-225,0.0,0.0,1.8626770442928338e-152,0.0,0.0,0.0,1.7908638751098774e-264,0.0,0.0,0.0,0.0,0.0,5.816174081917717e-299,0.0,1.7410969091549752e-90,9.971725640785404e-297,0.0,3.202561351751247e-190,3.3047334843220115e-293,6.904809029985414e-194,2.10916935105227e-17,0.00011061339115193882,1.9914752705319352e-183,6.02351558095938e-24,3.861968680057246e-51,0.00014545002506968576,0.0003281547707857329,0.0013501283004826068,0.0020755350755065974,0.006376527728917535,0.009072858009854502,0.017786131022717134,0.03992024898491203,0.03830520229864077,0.06160016613547096,0.160166955662954,0.10312182340239863,0.1106916500338256,0.10129778733100134,0.16923331014327175,0.06088230760935329,0.03690836231077719,0.041310156891300714,0.01848036678757565,0.010073412764967694,0.007005898785400609,0.002489710425748454,0.0008645631576425473,0.00030610179891172755,1.3499458704628547e-18,1.4122324161546608e-67,6.691718024315518e-31,9.657715136132853e-05,8.652397781772474e-146,1.7751029468992226e-219,2.1772970253175913e-162,0.0,4.200907882232552e-276,3.8285254442456756e-233,2.23966044e-316,0.0,0.0,0.0,5.688831082491499e-255,0.0,0.0,0.0,0.0,5.20395584333843e-212,0.0,0.0,0.0,5.0327175023426184e-161,0.0,0.0,0.0,3.333312912326875e-39,0.0,0.0,0.0,6.136038559385158e-202,7.229539004002188e-50,0.0,0.0,0.0,0.0,1.4672253686814432e-302
S_5,0.0006057637626538337,0.0006057637626538337,8.397816225099826e-63,0.0,0.0,2.7129061873659157e-149,2.62648245092766e-132,2.541738467769311e-10,3.887721822432627e-68,0.0006057637626538337,0.0006057637626538337,1.1375901083927604e-128,0.0006057637626538337,3.017969603621155e-60,0.0024230550506153348,2.2655784612239594e-59,2.6155757635140196e-43,0.0006057637624422731,0.0006057637626538337,0.0017377194633251168,1.1693607220648462e-69,0.0025854921963126692,6.632268604858596e-29,3.529799174799272e-31,0.0039492259511337184,0.0032769547006895284,0.007751629822066824,0.001907328253345799,0.010903736106687802,4.511025087896844e-39,0.011995143087303033,0.008008378254224608,0.015291256105858755,0.018195883753312134,0.025055720279195524,0.03556563479892663,0.0332209488016488,0.03775716544514332,0.024884156811036593,0.03620880771264599,0.03376341041177985,0.03818876257319815,0.037501187548497454,0.02686212099308537,0.02045269891644266,0.05377242811055549,0.02712280201080478,0.046055701025627165,0.0472204391327239,0.02961195164753034,0.04457541037305663,0.04248529348154631,0.03674409978094784,0.04339940267108485,0.027073352924475186,0.012081356930282802,0.01698465953165204,0.02016518410972238,0.01049964520534181,0.021718290235125264,0.013479270447090208,0.005738117245719348,0.0027707321232524214,0.0055625267439828015,0.010848862461471792,0.005569988327463142,0.0022295469779639084,0.01064316122511034,0.003080687768447551,0.0015803428198285288,0.0048461101012306695,0.0002153788135748755,1.814354673446154e-28,0.0012115274993209802,8.81180334806032e-33,0.0024230550506153348,0.0016408060393348974,0.0020217353773509376,0.0012115275253076674,1.8323321147198227e-175,0.0006057637626538337,3.748097364726106e-36,4.518715501505473e-32,0.0012045889018603827,0.0007166767994072728,7.2856421319558545e-177,3.809338366829087e-213,1.1994622933875392e-105,0.0005570494268677688,1.790460442197384e-93,2.5113428693613064e-188,5.576282366723628e-193,8.569042865724729e-203,7.184415240600637e-67,0.0006057637626538337,6.409760204267319e-184
S_6,0.0,1.643327903367401e-152,1.931795402207943e-44,0.003772037625607095,1.7155466209907806e-70,0.003772037625607095,0.00754407525121419,1.4020032158803422e-235,0.0,0.0,0.0,0.00754407525121419,0.0,3.43112253929183e-101,2.782177627374831e-74,0.002574516061883878,0.001702997259582713,3.121965496844544e-70,1.870041792493838e-72,0.004267524372999899,7.061701830080973e-16,0.0019142683518038976,3.419085078885307e-44,0.006081198713236421,7.231866985221709e-25,2.140889407836705e-67,1.0127898627375942e-17,3.8121208938931087e-07,2.703297026033463e-32,0.03184447605734109,3.106706105339059e-17,2.5729903485379617e-19,9.882931679623537e-08,0.004235003293497773,8.940501469275527e-07,0.051347736694588406,0.002802764818425833,2.3999014639877064e-07,0.016235508358152965,3.194056511576807e-06,0.0069616580861859385,2.7103042923674624e-11,0.0974522628602346,0.02275373795087323,0.16416096294951132,5.534364782527176e-05,0.05855996658868422,0.020660665300630727,0.06545721721096961,0.12217243978810566,0.0014136371053002446,0.00011689774437782856,0.019346244788599136,0.03880923623417809,3.575886567521823e-06,1.6448430949909815e-10,0.06814470158276775,0.02229537343193537,4.253234985033493e-24,6.471844074764575e-17,0.00010682888155199616,0.009294836679570153,0.03369954524751998,0.009418311321609063,1.2488103690879746e-32,0.00037244437182118765,0.00530774524046119,0.010391941223454297,0.013204926122210353,2.8886950351707066e-15,1.4442166489206894e-66,0.0143985428270225,3.0583281578331705e-35,3.8267477218323705e-59,4.603261863502596e-89,1.2465704640039521e-18,0.00487099573302144,2.2783228788233554e-44,2.75900207341441e-40,0.0,4.337075953252749e-111,6.6396599606743676e-06,2.0711592869949755e-35,0.0038152438230150206,0.0030813919092181606,6.195210217790966e-99,0.00754407525121419,0.003772037625607095,0.004075319107505768,0.003772037625607095,0.003772037625607095,0.003772037625607095,0.003772037625607095,0.0037720376254973143,0.0,0.003772037625607095
