,O_0,O_1,O_2,O_3,O_4,O_5,O_6,O_7,O_8,O_9,O_10,O_11,O_12
S_0,0.0,0.0,0.0,0.0002390850908068575,0.0004781145815521002,0.002868673879641023,0.044213362914102196,0.9039103020256858,0.04422647656620305,0.003107771061736849,0.0007171331371185006,0.0002390807431535296,0.0
S_1,0.0,0.0,0.0,4.575709362837274e-06,0.0005959696964284435,0.003719458380765296,0.18426801990447808,0.7605993742489432,0.045862944155217134,0.0035964193148867916,0.001302776556335023,5.046203358331542e-05,0.0
