,O_0,O_1,O_2,O_3,O_4,O_5,O_6,O_7,O_8,O_9,O_10,O_11
S_0,1.9557321913991258e-24,0.0,3.3007514118324763e-25,8.726742834171669e-15,3.797654713886366e-05,0.000104410865584795,0.9960991139422446,0.0037098710265547094,2.170554151513355e-05,2.6922076953301242e-05,0.0,0.0
S_1,9.593682425230367e-05,0.0,9.593682425230367e-05,3.2984058757116876e-16,9.876683003625492e-07,0.0032423050957870576,0.9964446145601108,7.592522657983381e-06,4.0953149314644103e-05,7.167335532406115e-05,0.0,0.0
S_2,1.719743252134978e-68,0.0,5.090468078708596e-84,2.2869287034321656e-24,8.181245563108085e-05,1.1211210816242926e-06,0.9998390238807355,6.64322748146189e-05,2.0449499024400054e-07,1.1405772746804818e-05,0.0,0.0
S_3,1.0352163481260038e-77,0.0,1.5211366933063829e-80,0.023417479350664187,2.3080797233761543e-05,8.493543641307344e-08,0.9748013009225494,1.2311364616516683e-05,0.001674166299520649,7.157632997923206e-05,0.0,0.0
S_4,1.7411814152598938e-77,0.0,2.8718302887349856e-85,9.82321300367207e-06,0.00018557325140528645,0.0013561041754931457,0.9975778797124676,0.00014513615211837654,0.0006641896673237297,6.1293828188449e-05,0.0,0.0
