,S_0,S_1,S_2,S_3,S_4,S_5,S_6
S_0,3.129743654602053e-08,2.0623324085183633e-17,0.8087203389035966,0.15608795055651573,0.03503808433721691,6.847831791246784e-09,0.0001535880574024
S_1,1.186570000193353e-19,0.0018821758045565113,8.679263695458959e-08,1.1525261709291512e-221,1.428051501073976e-151,0.9974742107520651,0.0006435266507414324
S_2,0.1392562647073983,1.654309376809564e-07,0.029976267931594344,1.4375784948014763e-22,5.719310506399912e-06,0.003482009979782574,0.8272795726397807
S_3,0.0024041537153184664,0.0004739352799110492,2.758179288867983e-06,0.9937067350676433,0.0013268638143737563,0.0020843091080396635,1.244835425051935e-06
S_4,3.8143808110297464e-24,9.389190407129054e-10,2.7344527295725834e-20,5.155706496292514e-27,0.9431620257467109,0.05683797331437007,3.011171571942038e-25
S_5,6.958771078038263e-23,0.9462029976392478,0.05308100072660539,1.7336746533144161e-202,1.986309808538193e-142,0.0005324171226217339,0.00018358451152523293
S_6,0.0001696736956241701,8.425679986586477e-05,0.9392246074765431,7.141791034440535e-26,0.004817691698206416,8.651305673192735e-05,0.055617257273028464
