,O_0,O_1,O_2,O_3,O_4,O_5,O_6,O_7,O_8,O_9,O_10,O_11,O_12,O_13,O_14,O_15,O_16,O_17,O_18,O_19,O_20,O_21,O_22,O_23,O_24,O_25,O_26,O_27,O_28,O_29,O_30,O_31,O_32,O_33,O_34,O_35,O_36,O_37,O_38,O_39,O_40,O_41,O_42,O_43,O_44,O_45,O_46,O_47,O_48,O_49,O_50,O_51,O_52,O_53,O_54,O_55,O_56,O_57,O_58,O_59,O_60,O_61,O_62,O_63,O_64,O_65,O_66,O_67,O_68,O_69,O_70,O_71,O_72,O_73,O_74,O_75,O_76
S_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.742869311581502e-294,8.604666599073685e-90,1.4077584332265892e-236,0.0,7.488366000591525e-144,5.877884582470052e-51,8.173159375878e-311,0.0007214592558273599,4.309818607733406e-84,0.0005674899027064443,0.00015612218342910797,0.001744783642036429,0.003574564734230157,0.0080450038054777,0.011757412961756534,0.012234665320389549,0.02448960187172971,0.038399445131273385,0.07000054476025913,0.06110892084542195,0.1115882227797209,0.11598478983148777,0.08447783814056603,0.11531671758395687,0.11409641559992842,0.07028628219083204,0.05904791344363747,0.0380742985456969,0.023014387706006237,0.014743636176887637,0.010804084108966367,0.0048241065022388025,0.002364804666226773,0.0017026830896246206,3.4449736347019e-06,8.418998400653067e-36,0.00042019135579147326,0.00045015299471068784,6.842517192151529e-183,1.5895548825866398e-08,4.158104159904434e-127,2.194216412702495e-227,0.0,5.0316740025308025e-273,0.0,0.0,0.0,0.0,0.0,1.56996687988181e-207,0.0,7.042496468210025e-28,0.0,0.0,0.0,0.0,2.8211537187838106e-154,0.0,0.0,0.0,0.0,0.0,0.0
S_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0198831077734766e-98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.150753600212737e-242,0.0,0.0004800727850607466,3.1104133450129703e-24,0.002113404550706099,0.0037008917966459705,0.0033045025877190704,0.011693100163457431,4.321758225211429e-05,0.04776473777008043,0.06017334637233673,0.11330212675219707,0.1887938933491147,0.14709973205823246,0.17902835075374296,0.11229484015007202,0.05517293054464325,0.04904480223199202,0.015654678394517653,0.007584821497010737,0.00196223857047969,0.0007883120897387704,5.16009740061885e-44,3.604270669656816e-114,8.376579680366108e-131,1.187128872656056e-17,7.955565277391866e-101,0.0,1.018106e-318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010145441466622125,2.4035101230029414e-203,0.0,2.3195038065672368e-184,2.7012463121110898e-251,0.0,0.00040128942937598674,0.0003370276386710044,0.00017672330775858413,0.0010081198627313714,0.00110555145181728,0.002420088950072759,0.004165899690084072,0.007859669126239205,0.019861312492476316,0.029272124143418524,0.0360239175534227,0.058182176256254395,0.07641011341805685,0.0886203916307415,0.11988051617130784,0.07893893649867881,0.11681133306681721,0.09847574386700818,0.07494744307757989,0.06603230959811571,0.046255783089214894,0.0290703072372235,0.020074747166498284,0.008110411828850252,0.0064974207340121135,0.0042230332355741515,0.0010672052820621797,0.001464889892521278,0.0015350491903317652,2.717792297298583e-25,3.4871253139772165e-82,0.0003766881746258559,2.125121208209021e-46,0.000292322523791304,9.51610161252792e-196,0.0,5.492045924268148e-56,0.0,0.0,4.3920596093724804e-218,0.0,0.0,6.061281264894884e-150,0.0,4.7346815039977044e-217,0.0,0.0,0.0,0.0,8.053629187867228e-192,0.0,0.0,0.0,0.0,0.0,0.0
S_3,0.0,4.0989783471672607e-199,3.2135492324108596e-194,0.0,0.0,0.0,0.0,0.0,0.0,3.026309254161638e-186,2.522735932247571e-163,0.0,1.0667074855509606e-113,8.713185422740917e-61,1.7222850048043583e-46,0.00012264838437815002,5.254224124174123e-22,7.231092270657178e-05,0.00021299910244815915,0.0004580479668588142,0.0005435387733902778,0.0006967868933643208,0.0023164704131955764,0.004086817137008165,0.004720297170773845,0.011714729996469078,0.01408709430573266,0.0171237526788866,0.02445988463899437,0.03212734310941867,0.040267818772969144,0.04451259355453049,0.05848567084033736,0.06471109519270032,0.07149883971548607,0.08220980171761695,0.05714508561548349,0.08517434850258034,0.06841213102341479,0.062465740395893615,0.06123883724601995,0.039773047879908235,0.04044265162007403,0.03169817146031136,0.02255384408167009,0.019749302525954318,0.012772339537881226,0.009816434672664694,0.005530015930217334,0.0034058616426793633,0.002532521268022084,0.0009303827985039174,0.0007777174969030424,0.0005063796185772844,0.00044307468953354084,0.00020357070644169177,2.064515073268504e-70,7.479200900110632e-72,1.6167045117814085e-229,1.178733861e-314,4.588706908109641e-282,7.217512657295434e-43,0.0,2.118799012252749e-98,1.5541121365073663e-100,1.5636071315244072e-159,0.0,0.0,0.0,0.0,4.8823104644671936e-150,0.0,2e-323,0.0,4.5193790862895344e-181,0.0,0.0
S_4,0.00020841221641414097,0.00020841221641414097,0.00020841221641414097,0.00041682443282828194,0.00020841221641414097,0.00020841221641414097,0.00020841221641414097,0.0008336488656565639,0.00020841221641414097,0.0016672977313131278,0.0010420610820707048,0.0016672977313131278,0.0027093588133838328,0.0014588855148989868,0.0029177710297979735,0.003716796799414558,0.0029177710297979735,0.0054628454900149505,0.0057684503914816705,0.007087429866437677,0.010019385168558811,0.011532587207428184,0.011044525802771042,0.016141792413139386,0.01751749013013751,0.018349975434196517,0.028115760784457978,0.023677062974563744,0.02862033844035502,0.030263857980936483,0.03755132259320613,0.03358666496734547,0.043822585688295904,0.03708592997492142,0.040770275542679986,0.04722006532327484,0.040873661138558906,0.04653869294462618,0.047360455371232575,0.038576919226944194,0.04258959059215023,0.03353680282175075,0.04102304520825177,0.03029701148927926,0.026459188930562327,0.026102937908708542,0.022345940908656874,0.018466496278784408,0.019198509964082858,0.015541815858457092,0.015218470926603809,0.00963815013876477,0.008845762359454673,0.007186010039170068,0.007040378452182463,0.0053730464838175245,0.0035430076790403963,0.0031261832462121143,0.0035430076790403963,0.0020841221641414096,0.0018757099477272688,0.0014588855148989868,0.0008336488656565639,0.0014588855148989868,0.0010420610820707048,0.00041682443282828194,0.00041682443282828194,0.00041682443282828194,0.0006252366492424229,0.00041682443282828194,0.00041682443282828194,0.00041682443282828194,0.00020841221641414097,0.00041682443282828194,0.00020841221641414097,0.00020841221641414097,0.00020841221641414097
S_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.309024435634652e-204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4531737938183147e-224,0.0,1.9984024181221836e-67,7.626960908924305e-55,8.537293172579927e-09,0.001565853075951565,0.003237228023922696,0.010427651305040352,0.027230861654190044,0.02613169908101725,0.07003459275800167,0.1288925668822926,0.16001701972320329,0.11389384242142146,0.18154078380903596,0.13855396616992632,0.08050005961939459,0.038032863271025785,0.011196435347762724,2.97309585919776e-10,0.005017643573379058,0.0030888293653993154,0.00035076264734330045,1.492904056092694e-07,6.323007758810065e-99,0.0001271263306950472,0.0001600568159887454,0.0,4.080598945040455e-265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0163618061048138e-159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.305347899358891e-258,0.0,4.257428867435476e-43,0.006080436844001711,0.0007434579224202964,3.338597224420324e-17,0.05262646568720175,4.027477384209856e-06,0.08011983397078648,0.18305341853891569,0.07912547669121893,0.003458939680833474,0.05204507125595907,0.26989128304102183,0.00038899813802847503,0.08158983814660405,0.000551214520349098,3.1619188709151947e-07,0.09499801770246583,0.09322608278468382,3.8608608776880814e-11,3.3189556146163016e-33,7.468991244994867e-41,0.002097121367629596,4.606067648111322e-123,2.744405150725355e-84,1.9347799240223233e-18,0.0,3.940600776634699e-89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
