,O_0,O_1,O_2,O_3,O_4,O_5,O_6,O_7,O_8,O_9,O_10,O_11,O_12
S_0,0.00023891532222376454,0.0,0.0,0.00047816150158705266,0.0,0.0011951602884292536,0.04254864587238604,0.9101175339967587,0.042791862265648496,0.001195327684553636,0.0014343930684129,0.0,0.0
S_1,0.0019373433789841763,0.0,0.0,6.65997772326918e-05,0.0,0.0029687298807798863,0.09487216170103825,0.8505557145708267,0.047305200435553134,0.0010420403038092787,0.0012522099517758866,0.0,0.0
