,O_0,O_1,O_2,O_3,O_4,O_5,O_6,O_7,O_8,O_9,O_10,O_11
S_0,2.2782647172024687e-22,0.0,0.0,7.187969633392343e-136,7.872793374224314e-27,8.69643748345836e-14,7.761167012652928e-06,0.849710848974459,0.10781849081069733,0.022642550363505997,0.01982034868423805,0.0
S_1,4.6486980227125545e-284,0.0,0.0,3.4208041263575555e-148,2.037192923187208e-06,2.5910535351287377e-06,0.6842872418629891,0.263754813044786,0.017420748011339086,6.6371870460839265e-12,0.034532568827790294,0.0
S_2,1.6549794451941174e-49,0.0,0.0,9.769830552084896e-69,0.0007336805625863526,0.0009968386371224738,0.005002080323315905,0.932788191713329,0.06047773941546385,4.128439654919628e-12,1.4693440539293426e-06,0.0
S_3,0.006006637030961406,0.0,0.0,0.006006637030961406,0.01368235781850334,0.01813327685393507,0.2735346514680971,0.3959285242284005,0.27895059390061183,0.007757321668529242,7.463899500188743e-45,0.0
