,P_0,P_1,P_2,P_3,P_4
P_0,0.0,226.26295000591475,200.91401729611604,167.40114589859658,138.1474584143231
P_1,226.26295000591475,0.0,174.78934445238573,129.10765735185507,172.56173970986998
P_2,200.91401729611604,174.78934445238573,0.0,154.76024367210823,129.66859292166865
P_3,167.40114589859658,129.10765735185507,154.76024367210823,0.0,109.86910145221036
P_4,138.1474584143231,172.56173970986998,129.66859292166865,109.86910145221036,0.0
