,P_0,P_1,P_2,P_3,P_4
P_0,0.0,120.184669701186,30.569945564069723,55.433321737189004,93.22404227901644
P_1,120.184669701186,0.0,123.42430181514766,88.48667086508628,182.07840198752686
P_2,30.569945564069723,123.42430181514766,0.0,79.27936538683514,67.66222347298945
P_3,55.433321737189004,88.48667086508628,79.27936538683514,0.0,146.5282254146929
P_4,93.22404227901644,182.07840198752686,67.66222347298945,146.5282254146929,0.0
