,P_0,P_1,P_2,P_3,P_4
P_0,0.0,139.4789725379475,127.1610011116084,289.7347350507233,205.83486399493432
P_1,139.47897253794747,0.0,148.29403126237966,213.3604289838642,119.87898827633279
P_2,127.1610011116084,148.2940312623797,0.0,298.4565435569369,176.42642227788235
P_3,289.7347350507233,213.36042898386424,298.4565435569369,0.0,169.1057393006971
P_4,205.83486399493432,119.8789882763328,176.42642227788235,169.1057393006971,0.0
