,P_0,P_1,P_2,P_3,P_4
P_0,0.0,115.84220536120907,144.8356712315916,159.53729939520937,180.27761422196622
P_1,115.84220536120908,0.0,180.4871894087039,126.49192991723235,161.8575962398111
P_2,144.8356712315916,180.4871894087039,0.0,156.3930617897858,232.6828399664832
P_3,159.5372993952094,126.49192991723235,156.3930617897858,0.0,117.51887616530735
P_4,180.27761422196627,161.8575962398111,232.6828399664832,117.51887616530735,0.0
