,P_0,P_1,P_2,P_3,P_4
P_0,0.0,62.23557723661484,71.78356113628878,35.795051932564824,97.04794098917904
P_1,62.23557723661484,0.0,65.16006936779566,90.29377489718505,42.90176541132726
P_2,71.78356113628878,65.16006936779566,0.0,107.57861306885363,63.54257516619006
P_3,35.795051932564824,90.29377489718505,107.57861306885363,0.0,132.84299292174387
P_4,97.04794098917904,42.90176541132726,63.54257516619006,132.84299292174387,0.0
