,0
0,1.0
1,-0.0735197416812774
2,-0.00540675716312195
3,0.006514521241597901
4,-0.018695194519013216
5,0.01062694748797717
6,-0.005755128278418487
7,-0.0037102960997327373
8,0.0037785121415510993
9,0.004126699936771616
10,0.00972312052042774
11,0.008140881486522032
12,0.002236367638013348
13,0.005158538147232118
14,0.005874408172118914
15,0.001757980329396382
16,0.0020524044612393183
17,0.002017167886598257
18,-0.006722149598384741
19,0.00284393116184635
20,0.003833035867321003
21,-0.0055766079944458416
22,-0.0034238092577462717
23,0.001574865433715602
24,0.003255998005925705
25,0.00034720966561497743
26,0.0033873856809326633
27,-0.005018357751898729
28,0.0035995632830767605
29,0.0009991225224397506
30,0.002311895914531879
31,0.0003749238489561284
32,-0.00981330697249284
33,0.003398163790466628
34,-0.0005297748287342232
35,0.007165619629158646
36,-9.335024539503737e-05
37,0.0066581986364912344
38,-0.000491374709723045
39,0.005700254957197282
40,0.001335908220643461
41,0.007374509562750421
42,0.002787933066037498
43,-0.004394235153318561
44,0.005931372106401752
45,-0.002686476452749946
46,-0.002981606138978314
47,0.0038932944528040398
48,0.0008386419527071368
49,-0.0021169070007158093
50,0.00761447398479283
51,0.002119428159921379
52,-0.0011503970257156822
53,0.00107923036272644
54,-0.0002485438786542113
55,-0.0014118285627876396
56,0.00044785899372003446
57,0.00787189341022016
58,0.0017776783061280068
59,0.0016351050134645962
60,-0.004098312578540404
61,0.005943107527550357
62,-0.007807968224024835
63,-0.0013027559468883436
64,-0.0014638590130807902
65,-0.013554764439817589
66,0.0031969821699929985
67,0.007182076638192658
68,0.0036725492556269525
69,6.4607877503638e-05
70,-0.004301590304789701
71,0.0011094875694041377
72,0.0038950928015272935
73,0.0012486700527096072
74,0.0009471854470942762
75,-0.005967066796847941
76,0.003606324765269298
77,-0.0006620485491749746
78,0.0018021757001967017
79,-0.0011591787369601494
80,-0.0023006796607890063
81,0.0011003405742622766
82,-0.0009231477756304588
83,0.012150547382629294
84,0.007456371783495679
85,-0.0096215365823675
86,0.006654298736635611
87,-0.0003698793236365585
88,0.007307692163815587
89,0.00017016035387938056
90,0.0022195527052819367
91,-0.0057776385279209915
92,-0.0016821370916677576
93,-0.006741114205313172
94,0.0055661725605825685
95,-0.005229096404207831
96,0.00917448179898294
97,-0.007205175098765521
98,0.0031515235867618585
99,0.002596741241754427
100,-0.0011617761865988401
