,P_0,P_1,P_2,P_3,P_4
P_0,0.0,109.87671797230168,137.41758057388782,155.4721227454795,115.35627892352154
P_1,109.87671797230169,0.0,201.66858773037677,167.99113685329402,146.92631830280942
P_2,137.41758057388782,201.66858773037671,0.0,224.21961810840676,94.05188845042687
P_3,155.47212274547954,167.99113685329402,224.2196181084068,0.0,157.2617978089844
P_4,115.35627892352156,146.92631830280942,94.05188845042689,157.2617978089844,0.0
