,State_0,State_1,State_2,State_3,State_4
State_0,0.0,139.47897253771865,127.16100111178939,289.7347350516224,205.83486399496022
State_1,139.47897253771862,0.0,148.29403126201882,213.36042898486522,119.87898827662316
State_2,127.16100111178939,148.29403126201885,0.0,298.4565435577266,176.4264222779264
State_3,289.73473505162235,213.36042898486522,298.45654355772655,0.0,169.10573930119466
State_4,205.8348639949602,119.87898827662316,176.4264222779264,169.10573930119466,0.0
